date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,317.437,2000-01-07,83.6022,2000-01-07,36030450,2000-01-07,1229.42404,2000-01-07,0.1467,2000-01-07,31862.5731,2000-01-07,0.0093,2000-01-07,1535.889,2000-01-07,628.617
2000-01-14,317.437,2000-01-14,88.172,2000-01-14,51529950,2000-01-14,1229.42404,2000-01-14,0.1467,2000-01-14,33604.2571,2000-01-14,0.0093,2000-01-14,1535.889,2000-01-14,628.617
2000-01-21,317.437,2000-01-21,82.7957,2000-01-21,25909650,2000-01-21,1229.42404,2000-01-21,0.1467,2000-01-21,31555.2171,2000-01-21,0.0093,2000-01-21,1535.889,2000-01-21,628.617
2000-01-28,317.437,2000-01-28,75.672,2000-01-28,21135150,2000-01-28,1229.42404,2000-01-28,0.1467,2000-01-28,28840.239,2000-01-28,0.0093,2000-01-28,1535.889,2000-01-28,628.617
2000-02-04,317.437,2000-02-04,81.586,2000-02-04,33397050,2000-02-04,1229.42404,2000-02-04,0.1467,2000-02-04,31094.1831,2000-02-04,0.0093,2000-02-04,1535.889,2000-02-04,628.617
2000-02-11,317.437,2000-02-11,83.871,2000-02-11,27483450,2000-02-11,1229.42404,2000-02-11,0.1467,2000-02-11,31965.0251,2000-02-11,0.0093,2000-02-11,1535.889,2000-02-11,628.617
2000-02-18,317.437,2000-02-18,82.2581,2000-02-18,20076900,2000-02-18,1229.42404,2000-02-18,0.1467,2000-02-18,31350.3131,2000-02-18,0.0093,2000-02-18,1535.889,2000-02-18,628.617
2000-02-25,317.437,2000-02-25,81.4516,2000-02-25,21291300,2000-02-25,1229.42404,2000-02-25,0.1467,2000-02-25,31042.9571,2000-02-25,0.0093,2000-02-25,1535.889,2000-02-25,628.617
2000-03-03,317.437,2000-03-03,103.2258,2000-03-03,51406200,2000-03-03,1229.42404,2000-03-03,0.1467,2000-03-03,39341.5693,2000-03-03,0.0093,2000-03-03,1535.889,2000-03-03,628.617
2000-03-10,317.437,2000-03-10,113.9785,2000-03-10,34570800,2000-03-10,1229.42404,2000-03-10,0.1467,2000-03-10,43439.6495,2000-03-10,0.0093,2000-03-10,1535.889,2000-03-10,628.617
