,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2013-03-29,,2013-03-29,,2013-03-29,,2013-03-29,,2013-03-29,,2015-05-22,2113.5387,2015-05-22,,2013-03-29,9.153,2013-03-29,
1,2013-04-05,,2013-04-05,,2013-04-05,,2013-04-05,,2013-04-05,,2015-05-29,2032.9412,2015-05-29,,2013-04-05,9.153,2013-04-05,
2,2013-04-12,,2013-04-12,,2013-04-12,,2013-04-12,,2013-04-12,,2015-06-05,2058.0325,2015-06-05,,2013-04-12,9.153,2013-04-12,
3,2013-04-19,,2013-04-19,,2013-04-19,,2013-04-19,,2013-04-19,,2015-06-12,2545.5405,2015-06-12,,2013-04-19,9.153,2013-04-19,
4,2013-04-26,,2013-04-26,,2013-04-26,,2013-04-26,,2013-04-26,,2015-06-19,2659.2773,2015-06-19,,2013-04-26,9.153,2013-04-26,
5,2013-05-03,,2013-05-03,,2013-05-03,,2013-05-03,,2013-05-03,,2015-06-26,2523.8312,2015-06-26,,2013-05-03,9.153,2013-05-03,
6,2013-05-10,,2013-05-10,,2013-05-10,,2013-05-10,,2013-05-10,,2015-07-03,2391.5566,2015-07-03,,2013-05-10,9.153,2013-05-10,
7,2013-05-17,,2013-05-17,,2013-05-17,,2013-05-17,,2013-05-17,,2015-07-10,2227.7118,2015-07-10,,2013-05-17,9.153,2013-05-17,
8,2013-05-24,,2013-05-24,,2013-05-24,,2013-05-24,,2013-05-24,,2015-07-17,2443.1209,2015-07-17,,2013-05-24,9.153,2013-05-24,
9,2013-05-31,,2013-05-31,,2013-05-31,,2013-05-31,,2013-05-31,,2015-07-24,2515.7046,2015-07-24,,2013-05-31,9.153,2013-05-31,
10,2013-06-07,,2013-06-07,,2013-06-07,,2013-06-07,,2013-06-07,,2015-07-31,2824.4285,2015-07-31,,2013-06-07,9.153,2013-06-07,
11,2013-06-14,,2013-06-14,,2013-06-14,,2013-06-14,,2013-06-14,,2015-08-07,2685.272,2015-08-07,,2013-06-14,9.153,2013-06-14,
12,2013-06-21,,2013-06-21,,2013-06-21,,2013-06-21,,2013-06-21,,2015-08-14,2642.0059,2015-08-14,,2013-06-21,9.153,2013-06-21,
13,2013-06-28,,2013-06-28,,2013-06-28,,2013-06-28,,2013-06-28,,2015-08-21,2114.1931,2015-08-21,,2013-06-28,10.629,2013-06-28,
14,2013-07-05,,2013-07-05,,2013-07-05,,2013-07-05,,2013-07-05,,2015-08-28,2124.152,2015-08-28,,2013-07-05,10.629,2013-07-05,
15,2013-07-12,,2013-07-12,,2013-07-12,,2013-07-12,,2013-07-12,,2015-09-04,2031.2076,2015-09-04,,2013-07-12,10.629,2013-07-12,
