,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07,370.623,2000-01-07,26.7327,2000-01-07,10293400,2000-01-07,392.20001,2000-01-07,0.31,2000-01-07,10589.4003,2000-01-07,0.1075,2000-01-07,1034.328,2000-01-07,232.756
1,2000-01-14,370.623,2000-01-14,29.0842,2000-01-14,7776800,2000-01-14,392.20001,2000-01-14,0.31,2000-01-14,11520.8754,2000-01-14,0.1075,2000-01-14,1034.328,2000-01-14,232.756
2,2000-01-21,370.623,2000-01-21,28.8366,2000-01-21,3398800,2000-01-21,392.20001,2000-01-21,0.31,2000-01-21,11422.8254,2000-01-21,0.1075,2000-01-21,1034.328,2000-01-21,232.756
3,2000-01-28,370.623,2000-01-28,28.8366,2000-01-28,6668200,2000-01-28,392.20001,2000-01-28,0.31,2000-01-28,11422.8254,2000-01-28,0.1075,2000-01-28,1034.328,2000-01-28,232.756
4,2000-02-04,370.623,2000-02-04,28.4653,2000-02-04,4647400,2000-02-04,392.20001,2000-02-04,0.31,2000-02-04,11275.7504,2000-02-04,0.1075,2000-02-04,1034.328,2000-02-04,232.756
5,2000-02-11,370.623,2000-02-11,27.2896,2000-02-11,6810800,2000-02-11,392.20001,2000-02-11,0.31,2000-02-11,10810.0128,2000-02-11,0.1075,2000-02-11,1034.328,2000-02-11,232.756
6,2000-02-18,370.623,2000-02-18,24.8453,2000-02-18,6692800,2000-02-18,392.20001,2000-02-18,0.31,2000-02-18,9841.7691,2000-02-18,0.1075,2000-02-18,1034.328,2000-02-18,232.756
7,2000-02-25,370.623,2000-02-25,22.9889,2000-02-25,7257400,2000-02-25,392.20001,2000-02-25,0.31,2000-02-25,9106.394,2000-02-25,0.1075,2000-02-25,1034.328,2000-02-25,232.756
8,2000-03-03,370.623,2000-03-03,24.8144,2000-03-03,7113200,2000-03-03,392.20001,2000-03-03,0.31,2000-03-03,9829.5128,2000-03-03,0.1075,2000-03-03,1034.328,2000-03-03,232.756
9,2000-03-10,370.623,2000-03-10,24.2574,2000-03-10,4626200,2000-03-10,392.20001,2000-03-10,0.31,2000-03-10,9608.9003,2000-03-10,0.1075,2000-03-10,1034.328,2000-03-10,232.756
10,2000-03-17,370.623,2000-03-17,24.4121,2000-03-17,6503400,2000-03-17,392.20001,2000-03-17,0.31,2000-03-17,9670.1816,2000-03-17,0.1075,2000-03-17,1034.328,2000-03-17,232.756
11,2000-03-24,370.623,2000-03-24,23.7933,2000-03-24,8256000,2000-03-24,391.418,2000-03-24,0.31,2000-03-24,9406.2638,2000-03-24,0.1075,2000-03-24,1034.328,2000-03-24,232.756
12,2000-03-31,-32.638,2000-03-31,21.9807,2000-03-31,7255200,2000-03-31,391.418,2000-03-31,-0.065,2000-03-31,8904.7595,2000-03-31,0.1175,2000-03-31,784.214,2000-03-31,114.064
13,2000-04-07,-32.638,2000-04-07,22.6449,2000-04-07,6283400,2000-04-07,391.418,2000-04-07,-0.065,2000-04-07,9173.8594,2000-04-07,0.1175,2000-04-07,784.214,2000-04-07,114.064
14,2000-04-14,-32.638,2000-04-14,20.8031,2000-04-14,6780600,2000-04-14,391.418,2000-04-14,-0.065,2000-04-14,8427.7188,2000-04-14,0.1175,2000-04-14,784.214,2000-04-14,114.064
15,2000-04-21,-32.638,2000-04-21,23.913,2000-04-21,8793600,2000-04-21,391.418,2000-04-21,-0.065,2000-04-21,9687.5955,2000-04-21,0.1175,2000-04-21,784.214,2000-04-21,114.064
16,2000-04-28,-32.638,2000-04-28,25.3623,2000-04-28,7148200,2000-04-28,391.418,2000-04-28,-0.065,2000-04-28,10274.7225,2000-04-28,0.1175,2000-04-28,784.214,2000-04-28,114.064
