date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,,2000-01-07,,2000-01-07,17065469,2000-01-07,1246.59892,2000-01-07,,2000-01-07,8444.8613,2000-01-07,,2000-01-07,,2000-01-07,
2000-01-14,,2000-01-14,,2000-01-14,15742202,2000-01-14,1246.59892,2000-01-14,,2000-01-14,9020.1925,2000-01-14,,2000-01-14,,2000-01-14,
2000-01-21,,2000-01-21,,2000-01-21,20964665,2000-01-21,1246.59892,2000-01-21,,2000-01-21,8284.7692,2000-01-21,,2000-01-21,,2000-01-21,
2000-01-28,,2000-01-28,,2000-01-28,17034769,2000-01-28,1246.59892,2000-01-28,,2000-01-28,8099.6626,2000-01-28,,2000-01-28,,2000-01-28,
2000-02-04,,2000-02-04,,2000-02-04,18151621,2000-02-04,1246.59892,2000-02-04,,2000-02-04,7699.4322,2000-02-04,,2000-02-04,,2000-02-04,
2000-02-11,,2000-02-11,,2000-02-11,23724066,2000-02-11,1246.59892,2000-02-11,,2000-02-11,7224.1586,2000-02-11,,2000-02-11,,2000-02-11,
2000-02-18,,2000-02-18,,2000-02-18,26081162,2000-02-18,1246.59892,2000-02-18,,2000-02-18,7694.4294,2000-02-18,,2000-02-18,,2000-02-18,
2000-02-25,,2000-02-25,,2000-02-25,41383547,2000-02-25,1246.59892,2000-02-25,,2000-02-25,8204.7231,2000-02-25,,2000-02-25,,2000-02-25,
2000-03-03,,2000-03-03,,2000-03-03,14581756,2000-03-03,1246.59892,2000-03-03,,2000-03-03,8489.8873,2000-03-03,,2000-03-03,,2000-03-03,
2000-03-10,,2000-03-10,,2000-03-10,35283058,2000-03-10,1246.59892,2000-03-10,,2000-03-10,8054.6367,2000-03-10,,2000-03-10,,2000-03-10,
2000-03-17,,2000-03-17,,2000-03-17,22106716,2000-03-17,1246.59892,2000-03-17,,2000-03-17,8639.9737,2000-03-17,,2000-03-17,,2000-03-17,
2000-03-24,,2000-03-24,,2000-03-24,22298848,2000-03-24,1246.59892,2000-03-24,,2000-03-24,9005.1839,2000-03-24,,2000-03-24,,2000-03-24,
2000-03-31,,2000-03-31,,2000-03-31,30533157,2000-03-31,1246.59892,2000-03-31,,2000-03-31,8549.9218,2000-03-31,,2000-03-31,,2000-03-31,
2000-04-07,,2000-04-07,,2000-04-07,24057827,2000-04-07,1246.59892,2000-04-07,,2000-04-07,8975.1666,2000-04-07,,2000-04-07,,2000-04-07,
2000-04-14,,2000-04-14,,2000-04-14,32318434,2000-04-14,1246.59892,2000-04-14,,2000-04-14,8780.0543,2000-04-14,,2000-04-14,,2000-04-14,
