,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2014-10-17,,2014-10-17,,2014-10-17,89842627.0,2014-10-17,1202.18127,2014-10-17,,2014-10-17,8566.1652,2014-10-17,,2014-10-17,,2014-10-17,
1,2014-10-24,,2014-10-24,,2014-10-24,63501645.0,2014-10-24,1202.18127,2014-10-24,,2014-10-24,9021.1075,2014-10-24,,2014-10-24,,2014-10-24,
2,2014-10-31,,2014-10-31,,2014-10-31,165931057.0,2014-10-31,1202.18127,2014-10-31,,2014-10-31,10994.332,2014-10-31,,2014-10-31,,2014-10-31,
3,2014-11-07,,2014-11-07,,2014-11-07,69577989.0,2014-11-07,1202.18127,2014-11-07,,2014-11-07,10578.1896,2014-11-07,,2014-11-07,,2014-11-07,
4,2014-11-14,,2014-11-14,,2014-11-14,111457124.0,2014-11-14,1202.18127,2014-11-14,,2014-11-14,11912.2965,2014-11-14,,2014-11-14,,2014-11-14,
5,2014-11-21,,2014-11-21,,2014-11-21,79724432.0,2014-11-21,1202.18127,2014-11-21,,2014-11-21,11897.5964,2014-11-21,,2014-11-21,,2014-11-21,
6,2014-11-28,,2014-11-28,,2014-11-28,44728157.0,2014-11-28,1219.74768,2014-11-28,,2014-11-28,12221.9993,2014-11-28,,2014-11-28,,2014-11-28,
7,2014-12-05,,2014-12-05,,2014-12-05,88561707.0,2014-12-05,1219.74768,2014-12-05,,2014-12-05,13504.243,2014-12-05,,2014-12-05,,2014-12-05,
8,2014-12-12,,2014-12-12,,2014-12-12,171589638.0,2014-12-12,1284.91956,2014-12-12,,2014-12-12,11718.5984,2014-12-12,,2014-12-12,,2014-12-12,
9,2014-12-19,,2014-12-19,,2014-12-19,144688013.0,2014-12-19,1284.91956,2014-12-19,,2014-12-19,12229.8307,2014-12-19,,2014-12-19,,2014-12-19,
10,2014-12-26,,2014-12-26,,2014-12-26,25612002.0,2014-12-26,1284.91956,2014-12-26,,2014-12-26,12537.8598,2014-12-26,,2014-12-26,,2014-12-26,
11,2015-01-02,,2015-01-02,,2015-01-02,31392156.0,2015-01-02,1284.91956,2015-01-02,,2015-01-02,12506.8356,2015-01-02,,2015-01-02,,2015-01-02,
12,2015-01-09,,2015-01-09,,2015-01-09,82001184.0,2015-01-09,1284.91956,2015-01-09,,2015-01-09,12870.9186,2015-01-09,,2015-01-09,,2015-01-09,
13,2015-01-16,,2015-01-16,,2015-01-16,69170175.0,2015-01-16,1284.91956,2015-01-16,,2015-01-16,13463.3933,2015-01-16,,2015-01-16,,2015-01-16,
14,2015-01-23,,2015-01-23,,2015-01-23,88258768.0,2015-01-23,1284.91956,2015-01-23,,2015-01-23,14727.1988,2015-01-23,,2015-01-23,,2015-01-23,
15,2015-01-30,,2015-01-30,,2015-01-30,119483531.0,2015-01-30,1284.91956,2015-01-30,,2015-01-30,15037.0193,2015-01-30,,2015-01-30,,2015-01-30,
16,2015-02-06,,2015-02-06,,2015-02-06,83635268.0,2015-02-06,1284.91956,2015-02-06,,2015-02-06,15434.4691,2015-02-06,,2015-02-06,,2015-02-06,
17,2015-02-13,,2015-02-13,,2015-02-13,80190756.0,2015-02-13,1284.91956,2015-02-13,,2015-02-13,16365.6041,2015-02-13,,2015-02-13,,2015-02-13,
18,2015-02-20,,2015-02-20,,2015-02-20,69882908.0,2015-02-20,1284.91956,2015-02-20,,2015-02-20,17481.1315,2015-02-20,,2015-02-20,,2015-02-20,
19,2015-02-27,,2015-02-27,,2015-02-27,68353225.0,2015-02-27,1287.27698,2015-02-27,,2015-02-27,17719.4625,2015-02-27,,2015-02-27,,2015-02-27,
20,2015-03-06,,2015-03-06,,2015-03-06,93692881.0,2015-03-06,1287.27698,2015-03-06,,2015-03-06,18047.4904,2015-03-06,,2015-03-06,,2015-03-06,
21,2015-03-13,,2015-03-13,,2015-03-13,92482444.0,2015-03-13,1287.27698,2015-03-13,,2015-03-13,20133.6401,2015-03-13,,2015-03-13,,2015-03-13,
22,2015-03-20,,2015-03-20,,2015-03-20,128080377.0,2015-03-20,1287.27698,2015-03-20,,2015-03-20,19439.1047,2015-03-20,,2015-03-20,,2015-03-20,
23,2015-03-27,,2015-03-27,,2015-03-27,86033728.0,2015-03-27,1287.27698,2015-03-27,,2015-03-27,19388.2663,2015-03-27,,2015-03-27,,2015-03-27,
24,2015-04-03,,2015-04-03,,2015-04-03,50500455.0,2015-04-03,1287.27698,2015-04-03,,2015-04-03,19746.9235,2015-04-03,,2015-04-03,,2015-04-03,
25,2015-04-10,,2015-04-10,,2015-04-10,62699763.0,2015-04-10,1287.27698,2015-04-10,,2015-04-10,20028.6297,2015-04-10,,2015-04-10,,2015-04-10,
26,2015-04-17,,2015-04-17,,2015-04-17,84443424.0,2015-04-17,1287.27698,2015-04-17,,2015-04-17,19346.7734,2015-04-17,,2015-04-17,,2015-04-17,
