,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07,,2000-01-07,,2000-01-07,6444201,2000-01-07,309.96729,2000-01-07,,2000-01-07,11981.9457,2000-01-07,,2000-01-07,,2000-01-07,
1,2000-01-14,,2000-01-14,,2000-01-14,4422375,2000-01-14,309.96729,2000-01-14,,2000-01-14,12043.3129,2000-01-14,,2000-01-14,,2000-01-14,
2,2000-01-21,,2000-01-21,,2000-01-21,3843701,2000-01-21,309.96729,2000-01-21,,2000-01-21,11214.8557,2000-01-21,,2000-01-21,,2000-01-21,
3,2000-01-28,,2000-01-28,,2000-01-28,6301819,2000-01-28,309.96729,2000-01-28,,2000-01-28,11337.5901,2000-01-28,,2000-01-28,,2000-01-28,
4,2000-02-04,,2000-02-04,,2000-02-04,7978178,2000-02-04,309.96729,2000-02-04,,2000-02-04,11552.3753,2000-02-04,,2000-02-04,,2000-02-04,
5,2000-02-11,,2000-02-11,,2000-02-11,3383825,2000-02-11,309.96729,2000-02-11,,2000-02-11,10677.8927,2000-02-11,,2000-02-11,,2000-02-11,
6,2000-02-18,,2000-02-18,,2000-02-18,3241770,2000-02-18,309.96729,2000-02-18,,2000-02-18,10861.9943,2000-02-18,,2000-02-18,,2000-02-18,
7,2000-02-25,,2000-02-25,,2000-02-25,5193414,2000-02-25,309.96729,2000-02-25,,2000-02-25,9358.498,2000-02-25,,2000-02-25,,2000-02-25,
8,2000-03-03,,2000-03-03,,2000-03-03,7836785,2000-03-03,309.96729,2000-03-03,,2000-03-03,10409.4113,2000-03-03,,2000-03-03,,2000-03-03,
9,2000-03-10,,2000-03-10,,2000-03-10,4309375,2000-03-10,309.96729,2000-03-10,,2000-03-10,9412.1943,2000-03-10,,2000-03-10,,2000-03-10,
10,2000-03-17,,2000-03-17,,2000-03-17,7342290,2000-03-17,309.96729,2000-03-17,,2000-03-17,10432.424,2000-03-17,,2000-03-17,,2000-03-17,
11,2000-03-24,,2000-03-24,,2000-03-24,3491968,2000-03-24,309.96729,2000-03-24,,2000-03-24,9895.461,2000-03-24,,2000-03-24,,2000-03-24,
12,2000-03-31,,2000-03-31,,2000-03-31,3820788,2000-03-31,309.96729,2000-03-31,,2000-03-31,10232.9806,2000-03-31,,2000-03-31,,2000-03-31,
13,2000-04-07,,2000-04-07,,2000-04-07,4695276,2000-04-07,309.96729,2000-04-07,,2000-04-07,10463.1076,2000-04-07,,2000-04-07,,2000-04-07,
14,2000-04-14,,2000-04-14,,2000-04-14,3202694,2000-04-14,309.96729,2000-04-14,,2000-04-14,10608.8546,2000-04-14,,2000-04-14,,2000-04-14,
15,2000-04-21,,2000-04-21,,2000-04-21,2617696,2000-04-21,309.96729,2000-04-21,,2000-04-21,10662.5509,2000-04-21,,2000-04-21,,2000-04-21,
16,2000-04-28,,2000-04-28,,2000-04-28,3624291,2000-04-28,309.96729,2000-04-28,,2000-04-28,11046.0959,2000-04-28,,2000-04-28,,2000-04-28,
17,2000-05-05,,2000-05-05,,2000-05-05,1861042,2000-05-05,309.96729,2000-05-05,,2000-05-05,11230.1975,2000-05-05,,2000-05-05,,2000-05-05,
18,2000-05-12,,2000-05-12,,2000-05-12,3191638,2000-05-12,309.96729,2000-05-12,,2000-05-12,11560.0462,2000-05-12,,2000-05-12,,2000-05-12,
19,2000-05-19,,2000-05-19,,2000-05-19,4109807,2000-05-19,305.7406,2000-05-19,,2000-05-19,11349.4503,2000-05-19,,2000-05-19,,2000-05-19,
20,2000-05-26,,2000-05-26,,2000-05-26,8178123,2000-05-26,305.7406,2000-05-26,,2000-05-26,10971.1353,2000-05-26,,2000-05-26,,2000-05-26,
21,2000-06-02,,2000-06-02,,2000-06-02,12010736,2000-06-02,326.14188,2000-06-02,,2000-06-02,12195.5529,2000-06-02,,2000-06-02,,2000-06-02,
22,2000-06-09,,2000-06-09,,2000-06-09,4755070,2000-06-09,326.14188,2000-06-09,,2000-06-09,11380.3637,2000-06-09,,2000-06-09,,2000-06-09,
23,2000-06-16,,2000-06-16,,2000-06-16,2779373,2000-06-16,326.14188,2000-06-16,,2000-06-16,11323.8655,2000-06-16,,2000-06-16,,2000-06-16,
24,2000-06-23,,2000-06-23,,2000-06-23,3351077,2000-06-23,326.14188,2000-06-23,,2000-06-23,11461.0755,2000-06-23,,2000-06-23,,2000-06-23,
25,2000-06-30,-127.4,2000-06-30,,2000-06-30,8772542,2000-06-30,326.14188,2000-06-30,0.9454,2000-06-30,11783.9227,2000-06-30,0.0,2000-06-30,4579.5,2000-06-30,760.5
26,2000-07-07,-127.4,2000-07-07,,2000-07-07,2554500,2000-07-07,314.01942,2000-07-07,0.9454,2000-07-07,10755.3131,2000-07-07,0.0,2000-07-07,4579.5,2000-07-07,760.5
27,2000-07-14,-127.4,2000-07-14,,2000-07-14,2433376,2000-07-14,314.01942,2000-07-14,0.9454,2000-07-14,11019.5332,2000-07-14,0.0,2000-07-14,4579.5,2000-07-14,760.5
28,2000-07-21,-127.4,2000-07-21,,2000-07-21,2309676,2000-07-21,314.01942,2000-07-21,0.9454,2000-07-21,11423.6345,2000-07-21,0.0,2000-07-21,4579.5,2000-07-21,760.5
29,2000-07-28,-127.4,2000-07-28,,2000-07-28,3843996,2000-07-28,314.01942,2000-07-28,0.9454,2000-07-28,11773.3376,2000-07-28,0.0,2000-07-28,4579.5,2000-07-28,760.5
30,2000-08-04,-127.4,2000-08-04,,2000-08-04,2747606,2000-08-04,314.01942,2000-08-04,0.9454,2000-08-04,12006.473,2000-08-04,0.0,2000-08-04,4579.5,2000-08-04,760.5
31,2000-08-11,-127.4,2000-08-11,,2000-08-11,1745871,2000-08-11,314.01942,2000-08-11,0.9454,2000-08-11,12029.7866,2000-08-11,0.0,2000-08-11,4579.5,2000-08-11,760.5
32,2000-08-18,-127.4,2000-08-18,,2000-08-18,3316134,2000-08-18,314.01942,2000-08-18,0.9454,2000-08-18,11765.5665,2000-08-18,0.0,2000-08-18,4579.5,2000-08-18,760.5
33,2000-08-25,-127.4,2000-08-25,,2000-08-25,4379847,2000-08-25,314.01942,2000-08-25,0.9454,2000-08-25,12604.8539,2000-08-25,0.0,2000-08-25,4579.5,2000-08-25,760.5
