,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07,1781.0,2000-01-07,12.3809,2000-01-07,35095400,2000-01-07,3411.37988,2000-01-07,0.9,2000-01-07,150527.1373,2000-01-07,0.244,2000-01-07,12897.0,2000-01-07,5033.0
1,2000-01-14,1781.0,2000-01-14,11.7846,2000-01-14,40649800,2000-01-14,3411.37988,2000-01-14,0.9,2000-01-14,143277.9551,2000-01-14,0.244,2000-01-14,12897.0,2000-01-14,5033.0
2,2000-01-21,1781.0,2000-01-21,12.0652,2000-01-21,46098500,2000-01-21,3411.37988,2000-01-21,0.9,2000-01-21,146689.335,2000-01-21,0.244,2000-01-21,12897.0,2000-01-21,5033.0
3,2000-01-28,1781.0,2000-01-28,11.013,2000-01-28,49155900,2000-01-28,3411.37988,2000-01-28,0.9,2000-01-28,133896.6604,2000-01-28,0.244,2000-01-28,12897.0,2000-01-28,5033.0
4,2000-02-04,1781.0,2000-02-04,11.7846,2000-02-04,41351800,2000-02-04,3411.37988,2000-02-04,0.9,2000-02-04,143277.9551,2000-02-04,0.244,2000-02-04,12897.0,2000-02-04,5033.0
5,2000-02-11,1781.0,2000-02-11,11.3462,2000-02-11,29012100,2000-02-11,3411.37988,2000-02-11,0.9,2000-02-11,137947.674,2000-02-11,0.244,2000-02-11,12897.0,2000-02-11,5033.0
6,2000-02-18,1781.0,2000-02-18,10.7324,2000-02-18,48319600,2000-02-18,3411.37988,2000-02-18,0.9,2000-02-18,130485.2805,2000-02-18,0.244,2000-02-18,12897.0,2000-02-18,5033.0
7,2000-02-25,1781.0,2000-02-25,9.9433,2000-02-25,51177700,2000-02-25,3411.37988,2000-02-25,0.9,2000-02-25,120890.7746,2000-02-25,0.244,2000-02-25,12897.0,2000-02-25,5033.0
8,2000-03-03,1781.0,2000-03-03,12.7842,2000-03-03,58985400,2000-03-03,3411.37988,2000-03-03,0.9,2000-03-03,155430.9959,2000-03-03,0.244,2000-03-03,12897.0,2000-03-03,5033.0
9,2000-03-10,1781.0,2000-03-10,11.7846,2000-03-10,33465300,2000-03-10,3395.37207,2000-03-10,0.9,2000-03-10,142605.627,2000-03-10,0.244,2000-03-10,12897.0,2000-03-10,5033.0
10,2000-03-17,1781.0,2000-03-17,12.8368,2000-03-17,38729000,2000-03-17,3395.37207,2000-03-17,0.9,2000-03-17,155338.2722,2000-03-17,0.244,2000-03-17,12897.0,2000-03-17,5033.0
11,2000-03-24,1781.0,2000-03-24,12.0652,2000-03-24,24738800,2000-03-24,3395.37207,2000-03-24,0.9,2000-03-24,146000.999,2000-03-24,0.244,2000-03-24,12897.0,2000-03-24,5033.0
12,2000-03-31,589.0,2000-03-31,11.953,2000-03-31,35471500,2000-03-31,3395.37207,2000-03-31,0.54,2000-03-31,143030.0485,2000-03-31,0.2537,2000-03-31,12582.0,2000-03-31,5321.0
13,2000-04-07,589.0,2000-04-07,13.1589,2000-04-07,37600800,2000-04-07,3395.37207,2000-04-07,0.54,2000-04-07,157460.3798,2000-04-07,0.2537,2000-04-07,12582.0,2000-04-07,5321.0
14,2000-04-14,589.0,2000-04-14,12.0949,2000-04-14,31766300,2000-04-14,3395.37207,2000-04-14,0.54,2000-04-14,144727.7345,2000-04-14,0.2537,2000-04-14,12582.0,2000-04-14,5321.0
15,2000-04-21,589.0,2000-04-21,11.687,2000-04-21,25299000,2000-04-21,3395.37207,2000-04-21,0.54,2000-04-21,139846.8871,2000-04-21,0.2537,2000-04-21,12582.0,2000-04-21,5321.0
16,2000-04-28,589.0,2000-04-28,12.4318,2000-04-28,36176100,2000-04-28,3395.37207,2000-04-28,0.54,2000-04-28,148759.7388,2000-04-28,0.2537,2000-04-28,12582.0,2000-04-28,5321.0
17,2000-05-05,589.0,2000-05-05,12.2013,2000-05-05,28283900,2000-05-05,3395.37207,2000-05-05,0.54,2000-05-05,146000.999,2000-05-05,0.2537,2000-05-05,12582.0,2000-05-05,5321.0
18,2000-05-12,589.0,2000-05-12,12.7222,2000-05-12,25754600,2000-05-12,3401.71997,2000-05-12,0.54,2000-05-12,152519.304,2000-05-12,0.2537,2000-05-12,12582.0,2000-05-12,5321.0
19,2000-05-19,589.0,2000-05-19,12.1126,2000-05-19,22062300,2000-05-19,3401.71973,2000-05-19,0.54,2000-05-19,145210.9108,2000-05-19,0.2537,2000-05-19,12582.0,2000-05-19,5321.0
20,2000-05-26,589.0,2000-05-26,12.0949,2000-05-26,21790700,2000-05-26,3401.71973,2000-05-26,0.54,2000-05-26,144998.3033,2000-05-26,0.2537,2000-05-26,12582.0,2000-05-26,5321.0
21,2000-06-02,589.0,2000-06-02,12.7688,2000-06-02,18030300,2000-06-02,3401.71973,2000-06-02,0.54,2000-06-02,153077.3877,2000-06-02,0.2537,2000-06-02,12582.0,2000-06-02,5321.0
22,2000-06-09,589.0,2000-06-09,13.6555,2000-06-09,22853800,2000-06-09,3401.71973,2000-06-09,0.54,2000-06-09,163707.7618,2000-06-09,0.2537,2000-06-09,12582.0,2000-06-09,5321.0
23,2000-06-16,589.0,2000-06-16,13.4072,2000-06-16,30781600,2000-06-16,3401.71973,2000-06-16,0.54,2000-06-16,160731.2571,2000-06-16,0.2537,2000-06-16,12582.0,2000-06-16,5321.0
