date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2010-01-01,-35.206,2010-01-01,,2010-01-01,,2010-01-01,,2010-01-01,-0.2253,2010-01-01,,2010-01-01,0,2010-01-01,18.585,2010-01-01,-20.99
2010-01-08,-35.206,2010-01-08,,2010-01-08,,2010-01-08,,2010-01-08,-0.2253,2010-01-08,,2010-01-08,0,2010-01-08,18.585,2010-01-08,-20.99
2010-01-15,-35.206,2010-01-15,,2010-01-15,,2010-01-15,,2010-01-15,-0.2253,2010-01-15,,2010-01-15,0,2010-01-15,18.585,2010-01-15,-20.99
2010-01-22,-35.206,2010-01-22,,2010-01-22,,2010-01-22,,2010-01-22,-0.2253,2010-01-22,,2010-01-22,0,2010-01-22,18.585,2010-01-22,-20.99
2010-01-29,-35.206,2010-01-29,,2010-01-29,,2010-01-29,,2010-01-29,-0.2253,2010-01-29,,2010-01-29,0,2010-01-29,18.585,2010-01-29,-20.99
2010-02-05,-35.206,2010-02-05,,2010-02-05,,2010-02-05,,2010-02-05,-0.2253,2010-02-05,,2010-02-05,0,2010-02-05,18.585,2010-02-05,-20.99
2010-02-12,-35.206,2010-02-12,,2010-02-12,,2010-02-12,,2010-02-12,-0.2253,2010-02-12,,2010-02-12,0,2010-02-12,18.585,2010-02-12,-20.99
2010-02-19,-35.206,2010-02-19,,2010-02-19,,2010-02-19,,2010-02-19,-0.2253,2010-02-19,,2010-02-19,0,2010-02-19,18.585,2010-02-19,-20.99
2010-02-26,-35.206,2010-02-26,,2010-02-26,,2010-02-26,,2010-02-26,-0.2253,2010-02-26,,2010-02-26,0,2010-02-26,18.585,2010-02-26,-20.99
2010-03-05,-35.206,2010-03-05,,2010-03-05,,2010-03-05,,2010-03-05,-0.2253,2010-03-05,,2010-03-05,0,2010-03-05,18.585,2010-03-05,-20.99
2010-03-12,-35.206,2010-03-12,,2010-03-12,,2010-03-12,,2010-03-12,-0.2253,2010-03-12,,2010-03-12,0,2010-03-12,18.585,2010-03-12,-20.99
2010-03-19,-35.206,2010-03-19,,2010-03-19,,2010-03-19,,2010-03-19,-0.2253,2010-03-19,,2010-03-19,0,2010-03-19,18.585,2010-03-19,-20.99
2010-03-26,-35.206,2010-03-26,,2010-03-26,,2010-03-26,,2010-03-26,-0.2253,2010-03-26,,2010-03-26,0,2010-03-26,18.585,2010-03-26,-20.99
