date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,,2000-01-07,,2000-01-07,10073952,2000-01-07,,2000-01-07,,2000-05-19,74556.7198,2000-05-19,,2000-01-07,,2000-01-07,
2000-01-14,,2000-01-14,,2000-01-14,11403956,2000-01-14,,2000-01-14,,2000-05-26,65190.2977,2000-05-26,,2000-01-14,,2000-01-14,
2000-01-21,,2000-01-21,,2000-01-21,9252165,2000-01-21,,2000-01-21,,2000-06-02,74681.6054,2000-06-02,,2000-01-21,,2000-01-21,
2000-01-28,,2000-01-28,,2000-01-28,23273733,2000-01-28,,2000-01-28,,2000-06-09,81425.4293,2000-06-09,,2000-01-28,,2000-01-28,
2000-02-04,,2000-02-04,,2000-02-04,19540230,2000-02-04,,2000-02-04,,2000-06-16,72888.4447,2000-06-16,,2000-02-04,,2000-02-04,
2000-02-11,,2000-02-11,,2000-02-11,10806681,2000-02-11,,2000-02-11,,2000-06-23,74404.3222,2000-06-23,,2000-02-11,,2000-02-11,
2000-02-18,,2000-02-18,,2000-02-18,8339188,2000-02-18,,2000-02-18,,2000-06-30,77941.3698,2000-06-30,,2000-02-18,,2000-02-18,
2000-02-25,,2000-02-25,,2000-02-25,22421549,2000-02-25,,2000-02-25,,2000-07-07,74151.676,2000-07-07,,2000-02-25,,2000-02-25,
2000-03-03,,2000-03-03,,2000-03-03,17057272,2000-03-03,,2000-03-03,,2000-07-14,73267.4141,2000-07-14,,2000-03-03,,2000-03-03,
2000-03-10,,2000-03-10,,2000-03-10,13360032,2000-03-10,,2000-03-10,,2000-07-21,64551.1183,2000-07-21,,2000-03-10,,2000-03-10,
2000-03-17,,2000-03-17,,2000-03-17,17213523,2000-03-17,,2000-03-17,,2000-07-28,57098.0537,2000-07-28,,2000-03-17,,2000-03-17,
2000-03-24,,2000-03-24,,2000-03-24,33446342,2000-03-24,,2000-03-24,,2000-08-04,69990.0451,2000-08-04,,2000-03-24,,2000-03-24,
2000-03-31,,2000-03-31,,2000-03-31,9801179,2000-03-31,,2000-03-31,,2000-08-11,73058.5022,2000-08-11,,2000-03-31,,2000-03-31,
2000-04-07,,2000-04-07,,2000-04-07,23385989,2000-04-07,,2000-04-07,,2000-08-18,85332.3306,2000-08-18,,2000-04-07,,2000-04-07,
2000-04-14,,2000-04-14,,2000-04-14,33626591,2000-04-14,,2000-04-14,,2000-08-25,83578.9963,2000-08-25,,2000-04-14,,2000-04-14,
2000-04-21,,2000-04-21,,2000-04-21,17379641,2000-04-21,,2000-04-21,,2000-09-01,76127.0229,2000-09-01,,2000-04-21,,2000-04-21,
2000-04-28,,2000-04-28,,2000-04-28,14863886,2000-04-28,,2000-04-28,,2000-09-08,69259.5179,2000-09-08,,2000-04-28,,2000-04-28,
2000-05-05,,2000-05-05,,2000-05-05,11744989,2000-05-05,,2000-05-05,,2000-09-15,63853.1843,2000-09-15,,2000-05-05,,2000-05-05,
2000-05-12,,2000-05-12,,2000-05-12,12072424,2000-05-12,,2000-05-12,,2000-09-22,59908.0219,2000-09-22,,2000-05-12,,2000-05-12,
2000-05-19,,2000-05-19,,2000-05-19,12340673,2000-05-19,4162.44883,2000-05-19,,2000-09-29,47780.3004,2000-09-29,,2000-05-19,,2000-05-19,
2000-05-26,,2000-05-26,,2000-05-26,14603161,2000-05-26,4162.44883,2000-05-26,,2000-10-06,53186.634,2000-10-06,,2000-05-26,,2000-05-26,
2000-06-02,,2000-06-02,,2000-06-02,21181479,2000-06-02,4162.44883,2000-06-02,,2000-10-13,49095.3545,2000-10-13,,2000-06-02,,2000-06-02,
2000-06-09,,2000-06-09,,2000-06-09,22931725,2000-06-09,4162.44883,2000-06-09,,2000-10-20,53332.7512,2000-10-20,,2000-06-09,,2000-06-09,
2000-06-16,,2000-06-16,,2000-06-16,13768242,2000-06-16,4210.36083,2000-06-16,,2000-10-27,50702.6429,2000-10-27,,2000-06-16,,2000-06-16,
2000-06-23,,2000-06-23,,2000-06-23,15879078,2000-06-23,4210.36083,2000-06-23,,2000-11-03,55962.8594,2000-11-03,,2000-06-23,,2000-06-23,
2000-06-30,,2000-06-30,,2000-06-30,12994359,2000-06-30,4210.36083,2000-06-30,,2000-11-10,49825.9401,2000-11-10,,2000-06-30,,2000-06-30,
2000-07-07,,2000-07-07,,2000-07-07,8880177,2000-07-07,4210.36083,2000-07-07,,2000-11-17,47488.0661,2000-11-17,,2000-07-07,,2000-07-07,
2000-07-14,,2000-07-14,,2000-07-14,13342034,2000-07-14,4210.36083,2000-07-14,,2000-11-24,47488.0661,2000-11-24,,2000-07-14,,2000-07-14,
2000-07-21,,2000-07-21,,2000-07-21,14979374,2000-07-21,4210.36083,2000-07-21,,2000-12-01,41351.1468,2000-12-01,,2000-07-21,,2000-07-21,
2000-07-28,,2000-07-28,,2000-07-28,22192005,2000-07-28,4210.36083,2000-07-28,,2000-12-08,46319.1291,2000-12-08,,2000-07-28,,2000-07-28,
2000-08-04,,2000-08-04,,2000-08-04,15165398,2000-08-04,4870.09245,2000-08-04,,2000-12-15,43542.9037,2000-12-15,,2000-08-04,,2000-08-04,
2000-08-11,,2000-08-11,,2000-08-11,13898646,2000-08-11,4870.09245,2000-08-11,,2000-12-22,40036.0927,2000-12-22,,2000-08-11,,2000-08-11,
2000-08-18,,2000-08-18,,2000-08-18,17484755,2000-08-18,4870.09245,2000-08-18,,2000-12-29,40328.3269,2000-12-29,,2000-08-18,,2000-08-18,
2000-08-25,,2000-08-25,,2000-08-25,14129457,2000-08-25,4870.09652,2000-08-25,,2001-01-05,47049.7147,2001-01-05,,2000-08-25,,2000-08-25,
2000-09-01,,2000-09-01,,2000-09-01,13497644,2000-09-01,4870.09652,2000-09-01,,2001-01-12,52309.9313,2001-01-12,,2000-09-01,,2000-09-01,
2000-09-08,,2000-09-08,,2000-09-08,13605133,2000-09-08,4870.09652,2000-09-08,,2001-01-19,58592.9677,2001-01-19,,2000-09-08,,2000-09-08,
2000-09-15,,2000-09-15,,2000-09-15,15040618,2000-09-15,4870.09652,2000-09-15,,2001-01-26,52163.8141,2001-01-26,,2000-09-15,,2000-09-15,
2000-09-22,,2000-09-22,,2000-09-22,29595659,2000-09-22,4870.09652,2000-09-22,,2001-02-02,54075.0262,2001-02-02,,2000-09-22,,2000-09-22,
2000-09-29,,2000-09-29,,2000-09-29,31200711,2000-09-29,4870.09652,2000-09-29,,2001-02-09,47996.5537,2001-02-09,,2000-09-29,,2000-09-29,
2000-10-06,,2000-10-06,,2000-10-06,46823773,2000-10-06,4870.09652,2000-10-06,,2001-02-16,52087.8332,2001-02-16,,2000-10-06,,2000-10-06,
2000-10-13,,2000-10-13,,2000-10-13,24197435,2000-10-13,4870.09652,2000-10-13,,2001-02-23,47108.1616,2001-02-23,,2000-10-13,,2000-10-13,
2000-10-20,,2000-10-20,,2000-10-20,43171212,2000-10-20,4870.09652,2000-10-20,,2001-03-02,43484.4568,2001-03-02,,2000-10-20,,2000-10-20,
2000-10-27,,2000-10-27,,2000-10-27,20550707,2000-10-27,4870.09652,2000-10-27,,2001-03-09,43390.9419,2001-03-09,,2000-10-27,,2000-10-27,
2000-11-03,,2000-11-03,,2000-11-03,16239460,2000-11-03,4870.09652,2000-11-03,,2001-03-16,46266.5269,2001-03-16,,2000-11-03,,2000-11-03,
2000-11-10,,2000-11-10,,2000-11-10,25600631,2000-11-10,4870.09652,2000-11-10,,2001-03-23,48978.4608,2001-03-23,,2000-11-10,,2000-11-10,
2000-11-17,,2000-11-17,,2000-11-17,16501101,2000-11-17,4870.09652,2000-11-17,,2001-03-30,45588.5435,2001-03-30,,2000-11-17,,2000-11-17,
2000-11-24,,2000-11-24,,2000-11-24,11775311,2000-11-24,4870.09652,2000-11-24,,2001-04-06,40889.4167,2001-04-06,,2000-11-24,,2000-11-24,
2000-12-01,,2000-12-01,,2000-12-01,20116582,2000-12-01,4870.09652,2000-12-01,,2001-04-13,47388.7065,2001-04-13,,2000-12-01,,2000-12-01,
2000-12-08,,2000-12-08,,2000-12-08,15942197,2000-12-08,4870.09652,2000-12-08,,2001-04-20,48861.5671,2001-04-20,,2000-12-08,,2000-12-08,
2000-12-15,,2000-12-15,,2000-12-15,14675862,2000-12-15,4870.09652,2000-12-15,,2001-04-27,50965.6537,2001-04-27,,2000-12-15,,2000-12-15,
2000-12-22,,2000-12-22,,2000-12-22,17473715,2000-12-22,4870.09652,2000-12-22,,2001-05-04,53771.1025,2001-05-04,,2000-12-22,,2000-12-22,
2000-12-29,,2000-12-29,,2000-12-29,11608453,2000-12-29,4870.09652,2000-12-29,,2001-05-11,50264.2915,2001-05-11,,2000-12-29,,2000-12-29,
2001-01-05,,2001-01-05,,2001-01-05,20251152,2001-01-05,4870.09652,2001-01-05,,2001-05-18,48510.886,2001-05-18,,2001-01-05,,2001-01-05,
2001-01-12,,2001-01-12,,2001-01-12,20443009,2001-01-12,4870.09652,2001-01-12,,2001-05-25,48744.6734,2001-05-25,,2001-01-12,,2001-01-12,
2001-01-19,,2001-01-19,,2001-01-19,19908686,2001-01-19,4870.09652,2001-01-19,,2001-06-01,46500.3143,2001-06-01,,2001-01-19,,2001-01-19,
2001-01-26,,2001-01-26,,2001-01-26,15312675,2001-01-26,4870.09652,2001-01-26,,2001-06-08,51807.2884,2001-06-08,,2001-01-26,,2001-01-26,
2001-02-02,,2001-02-02,,2001-02-02,23322728,2001-02-02,4870.09652,2001-02-02,,2001-06-15,49609.6868,2001-06-15,,2001-02-02,,2001-02-02,
2001-02-09,,2001-02-09,,2001-02-09,21387084,2001-02-09,4870.09652,2001-02-09,,2001-06-22,44887.1812,2001-06-22,,2001-02-09,,2001-02-09,
2001-02-16,,2001-02-16,,2001-02-16,17607035,2001-02-16,4870.09652,2001-02-16,,2001-06-29,51137.4391,2001-06-29,,2001-02-16,,2001-02-16,
