,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2000-01-07,,2000-01-07,,2000-01-07,22377134,2000-01-07,878.33194,2000-01-07,,2000-01-07,68890.5018,2000-01-07,,2000-01-07,,2000-01-07,
1,2000-01-14,,2000-01-14,,2000-01-14,25418253,2000-01-14,878.33194,2000-01-14,,2000-01-14,79459.7628,2000-01-14,,2000-01-14,,2000-01-14,
2,2000-01-21,,2000-01-21,,2000-01-21,21374549,2000-01-21,878.33194,2000-01-21,,2000-01-21,80220.9838,2000-01-21,,2000-01-21,,2000-01-21,
3,2000-01-28,,2000-01-28,,2000-01-28,29945393,2000-01-28,878.33194,2000-01-28,,2000-01-28,88477.3041,2000-01-28,,2000-01-28,,2000-01-28,
4,2000-02-04,,2000-02-04,,2000-02-04,21392085,2000-02-04,878.33194,2000-02-04,,2000-02-04,94567.0722,2000-02-04,,2000-02-04,,2000-02-04,
5,2000-02-11,,2000-02-11,,2000-02-11,27040941,2000-02-11,878.33194,2000-02-11,,2000-02-11,100422.6184,2000-02-11,,2000-02-11,,2000-02-11,
6,2000-02-18,,2000-02-18,,2000-02-18,26625387,2000-02-18,878.33194,2000-02-18,,2000-02-18,93706.3069,2000-02-18,,2000-02-18,,2000-02-18,
7,2000-02-25,,2000-02-25,,2000-02-25,23297426,2000-02-25,878.33194,2000-02-25,,2000-02-25,110084.2698,2000-02-25,,2000-02-25,,2000-02-25,
8,2000-03-03,,2000-03-03,,2000-03-03,19153641,2000-03-03,878.33194,2000-03-03,,2000-03-03,111565.723,2000-03-03,,2000-03-03,,2000-03-03,
9,2000-03-10,,2000-03-10,,2000-03-10,14147093,2000-03-10,878.33194,2000-03-10,,2000-03-10,109205.9378,2000-03-10,,2000-03-10,,2000-03-10,
10,2000-03-17,,2000-03-17,,2000-03-17,81141546,2000-03-17,878.33194,2000-03-17,,2000-03-17,93682.8847,2000-03-17,,2000-03-17,,2000-03-17,
11,2000-03-24,,2000-03-24,,2000-03-24,20121399,2000-03-24,878.33194,2000-03-24,,2000-03-24,96792.1798,2000-03-24,,2000-03-24,,2000-03-24,
12,2000-03-31,,2000-03-31,,2000-03-31,18927990,2000-03-31,878.33194,2000-03-31,,2000-03-31,87827.3384,2000-03-31,,2000-03-31,,2000-03-31,
13,2000-04-07,,2000-04-07,,2000-04-07,24107189,2000-04-07,878.33194,2000-04-07,,2000-04-07,87833.194,2000-04-07,,2000-04-07,,2000-04-07,
14,2000-04-14,,2000-04-14,,2000-04-14,17669286,2000-04-14,878.33194,2000-04-14,,2000-04-14,78874.2082,2000-04-14,,2000-04-14,,2000-04-14,
15,2000-04-21,,2000-04-21,,2000-04-21,16200945,2000-04-21,878.33194,2000-04-21,,2000-04-21,87745.3608,2000-04-21,,2000-04-21,,2000-04-21,
16,2000-04-28,,2000-04-28,,2000-04-28,15535751,2000-04-28,878.33194,2000-04-28,,2000-04-28,95445.4041,2000-04-28,,2000-04-28,,2000-04-28,
17,2000-05-05,,2000-05-05,,2000-05-05,9208284,2000-05-05,878.33194,2000-05-05,,2000-05-05,99544.2865,2000-05-05,,2000-05-05,,2000-05-05,
18,2000-05-12,,2000-05-12,,2000-05-12,16355558,2000-05-12,878.33194,2000-05-12,,2000-05-12,90468.1898,2000-05-12,,2000-05-12,,2000-05-12,
19,2000-05-19,,2000-05-19,,2000-05-19,15719448,2000-05-19,878.33194,2000-05-19,,2000-05-19,86369.3074,2000-05-19,,2000-05-19,,2000-05-19,
20,2000-05-26,,2000-05-26,,2000-05-26,15998916,2000-05-26,878.33194,2000-05-26,,2000-05-26,87950.3049,2000-05-26,,2000-05-26,,2000-05-26,
21,2000-06-02,,2000-06-02,,2000-06-02,12290195,2000-06-02,892.26151,2000-06-02,,2000-06-02,100706.5819,2000-06-02,,2000-06-02,,2000-06-02,
22,2000-06-09,,2000-06-09,,2000-06-09,14356830,2000-06-09,892.26151,2000-06-09,,2000-06-09,98743.6066,2000-06-09,,2000-06-09,,2000-06-09,
23,2000-06-16,,2000-06-16,,2000-06-16,24686804,2000-06-16,892.26151,2000-06-16,,2000-06-16,93390.0375,2000-06-16,,2000-06-16,,2000-06-16,
24,2000-06-23,,2000-06-23,,2000-06-23,11646246,2000-06-23,892.26151,2000-06-23,,2000-06-23,94758.1718,2000-06-23,,2000-06-23,,2000-06-23,
25,2000-06-30,,2000-06-30,,2000-06-30,10563783,2000-06-30,892.26151,2000-06-30,,2000-06-30,93984.8785,2000-06-30,,2000-06-30,,2000-06-30,
26,2000-07-07,,2000-07-07,,2000-07-07,19704915,2000-07-07,892.26151,2000-07-07,,2000-07-07,96661.6631,2000-07-07,,2000-07-07,,2000-07-07,
27,2000-07-14,,2000-07-14,,2000-07-14,16980552,2000-07-14,892.26151,2000-07-14,,2000-07-14,107071.3806,2000-07-14,,2000-07-14,,2000-07-14,
28,2000-07-21,,2000-07-21,,2000-07-21,11145032,2000-07-21,892.26151,2000-07-21,,2000-07-21,104097.1756,2000-07-21,,2000-07-21,,2000-07-21,
29,2000-07-28,,2000-07-28,,2000-07-28,21151791,2000-07-28,892.26151,2000-07-28,,2000-07-28,96602.179,2000-07-28,,2000-07-28,,2000-07-28,
30,2000-08-04,,2000-08-04,,2000-08-04,16760165,2000-08-04,892.26151,2000-08-04,,2000-08-04,93871.8587,2000-08-04,,2000-08-04,,2000-08-04,
31,2000-08-11,,2000-08-11,,2000-08-11,13309647,2000-08-11,892.26151,2000-08-11,,2000-08-11,97672.8928,2000-08-11,,2000-08-11,,2000-08-11,
32,2000-08-18,,2000-08-18,,2000-08-18,11384034,2000-08-18,892.26151,2000-08-18,,2000-08-18,101075.3833,2000-08-18,,2000-08-18,,2000-08-18,
33,2000-08-25,,2000-08-25,,2000-08-25,11302733,2000-08-25,892.26151,2000-08-25,,2000-08-25,104989.4371,2000-08-25,,2000-08-25,,2000-08-25,
34,2000-09-01,,2000-09-01,,2000-09-01,11987570,2000-09-01,892.26151,2000-09-01,,2000-09-01,110343.0061,2000-09-01,,2000-09-01,,2000-09-01,
35,2000-09-08,,2000-09-08,,2000-09-08,12595724,2000-09-08,892.26151,2000-09-08,,2000-09-08,105435.5679,2000-09-08,,2000-09-08,,2000-09-08,
36,2000-09-15,,2000-09-15,,2000-09-15,16325253,2000-09-15,892.26151,2000-09-15,,2000-09-15,107011.8965,2000-09-15,,2000-09-15,,2000-09-15,
37,2000-09-22,,2000-09-22,,2000-09-22,27395631,2000-09-22,892.26151,2000-09-22,,2000-09-22,90713.253,2000-09-22,,2000-09-22,,2000-09-22,
38,2000-09-29,,2000-09-29,,2000-09-29,18754434,2000-09-29,892.26151,2000-09-29,,2000-09-29,86846.7865,2000-09-29,,2000-09-29,,2000-09-29,
39,2000-10-06,,2000-10-06,,2000-10-06,19598363,2000-10-06,892.26151,2000-10-06,,2000-10-06,86192.4614,2000-10-06,,2000-10-06,,2000-10-06,
40,2000-10-13,,2000-10-13,,2000-10-13,24239637,2000-10-13,886.05002,2000-10-13,,2000-10-13,88008.3948,2000-10-13,,2000-10-13,,2000-10-13,
41,2000-10-20,,2000-10-20,,2000-10-20,32454065,2000-10-20,886.05002,2000-10-20,,2000-10-20,84676.8467,2000-10-20,,2000-10-20,,2000-10-20,
42,2000-10-27,,2000-10-27,,2000-10-27,19967163,2000-10-27,886.05002,2000-10-27,,2000-10-27,85243.9188,2000-10-27,,2000-10-27,,2000-10-27,
43,2000-11-03,,2000-11-03,,2000-11-03,16999071,2000-11-03,886.05002,2000-11-03,,2000-11-03,91558.5019,2000-11-03,,2000-11-03,,2000-11-03,
44,2000-11-10,,2000-11-10,,2000-11-10,35444618,2000-11-10,886.05002,2000-11-10,,2000-11-10,78852.5446,2000-11-10,,2000-11-10,,2000-11-10,
45,2000-11-17,,2000-11-17,,2000-11-17,25518770,2000-11-17,886.05002,2000-11-17,,2000-11-17,77765.6566,2000-11-17,,2000-11-17,,2000-11-17,
46,2000-11-24,,2000-11-24,,2000-11-24,23318363,2000-11-24,886.05002,2000-11-24,,2000-11-24,80394.2717,2000-11-24,,2000-11-24,,2000-11-24,
47,2000-12-01,,2000-12-01,,2000-12-01,17694356,2000-12-01,886.05002,2000-12-01,,2000-12-01,80453.3417,2000-12-01,,2000-12-01,,2000-12-01,
48,2000-12-08,,2000-12-08,,2000-12-08,21646256,2000-12-08,886.05002,2000-12-08,,2000-12-08,88398.2568,2000-12-08,,2000-12-08,,2000-12-08,
49,2000-12-15,,2000-12-15,,2000-12-15,26997162,2000-12-15,882.90747,2000-12-15,,2000-12-15,79455.7863,2000-12-15,,2000-12-15,,2000-12-15,
50,2000-12-22,,2000-12-22,,2000-12-22,16590599,2000-12-22,882.90747,2000-12-22,,2000-12-22,80226.8588,2000-12-22,,2000-12-22,,2000-12-22,
51,2000-12-29,-1892.0,2000-12-29,,2000-12-29,4345974,2000-12-29,882.90747,2000-12-29,1.1293,2000-12-29,81933.8133,2000-12-29,,2000-12-29,20471.0,2000-12-29,2271.0
52,2001-01-05,-1892.0,2001-01-05,,2001-01-05,20522984,2001-01-05,882.90747,2001-01-05,1.1293,2001-01-05,83464.1862,2001-01-05,,2001-01-05,20471.0,2001-01-05,2271.0
53,2001-01-12,-1892.0,2001-01-12,,2001-01-12,28275914,2001-01-12,882.90747,2001-01-12,1.1293,2001-01-12,85230.0012,2001-01-12,,2001-01-12,20471.0,2001-01-12,2271.0
