date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2017-03-31,,2017-03-31,,2017-03-31,,2017-03-31,,2017-03-31,,2017-03-31,,2017-03-31,0.0,2017-03-31,1529.0,2017-03-31,-697.0
2017-04-07,,2017-04-07,,2017-04-07,,2017-04-07,,2017-04-07,,2017-04-07,,2017-04-07,0.0,2017-04-07,1529.0,2017-04-07,-697.0
2017-04-14,,2017-04-14,,2017-04-14,,2017-04-14,,2017-04-14,,2017-04-14,,2017-04-14,0.0,2017-04-14,1529.0,2017-04-14,-697.0
2017-04-21,,2017-04-21,,2017-04-21,,2017-04-21,,2017-04-21,,2017-04-21,,2017-04-21,0.0,2017-04-21,1529.0,2017-04-21,-697.0
2017-04-28,,2017-04-28,,2017-04-28,,2017-04-28,,2017-04-28,,2017-04-28,,2017-04-28,0.0,2017-04-28,1529.0,2017-04-28,-697.0
2017-05-05,,2017-05-05,,2017-05-05,,2017-05-05,,2017-05-05,,2017-05-05,,2017-05-05,0.0,2017-05-05,1529.0,2017-05-05,-697.0
2017-05-12,,2017-05-12,,2017-05-12,,2017-05-12,,2017-05-12,,2017-05-12,,2017-05-12,0.0,2017-05-12,1529.0,2017-05-12,-697.0
2017-05-19,,2017-05-19,,2017-05-19,,2017-05-19,,2017-05-19,,2017-05-19,,2017-05-19,0.0,2017-05-19,1529.0,2017-05-19,-697.0
2017-05-26,,2017-05-26,,2017-05-26,,2017-05-26,,2017-05-26,,2017-05-26,,2017-05-26,0.0,2017-05-26,1529.0,2017-05-26,-697.0
2017-06-02,,2017-06-02,,2017-06-02,,2017-06-02,,2017-06-02,,2017-06-02,,2017-06-02,0.0,2017-06-02,1529.0,2017-06-02,-697.0
2017-06-09,,2017-06-09,,2017-06-09,,2017-06-09,,2017-06-09,,2017-06-09,,2017-06-09,0.0,2017-06-09,1529.0,2017-06-09,-697.0
2017-06-16,,2017-06-16,,2017-06-16,,2017-06-16,,2017-06-16,,2017-06-16,,2017-06-16,0.0,2017-06-16,1529.0,2017-06-16,-697.0
2017-06-23,,2017-06-23,,2017-06-23,,2017-06-23,,2017-06-23,,2017-06-23,,2017-06-23,0.0,2017-06-23,1529.0,2017-06-23,-697.0
2017-06-30,,2017-06-30,,2017-06-30,,2017-06-30,,2017-06-30,,2017-06-30,,2017-06-30,0.0,2017-06-30,1813.0,2017-06-30,-781.0
2017-07-07,,2017-07-07,,2017-07-07,,2017-07-07,,2017-07-07,,2017-07-07,,2017-07-07,0.0,2017-07-07,1813.0,2017-07-07,-781.0
2017-07-14,,2017-07-14,,2017-07-14,,2017-07-14,,2017-07-14,,2017-07-14,,2017-07-14,0.0,2017-07-14,1813.0,2017-07-14,-781.0
2017-07-21,,2017-07-21,,2017-07-21,,2017-07-21,,2017-07-21,,2017-07-21,,2017-07-21,0.0,2017-07-21,1813.0,2017-07-21,-781.0
2017-07-28,,2017-07-28,,2017-07-28,,2017-07-28,,2017-07-28,,2017-07-28,,2017-07-28,0.0,2017-07-28,1813.0,2017-07-28,-781.0
2017-08-04,,2017-08-04,,2017-08-04,,2017-08-04,,2017-08-04,,2017-08-04,,2017-08-04,0.0,2017-08-04,1813.0,2017-08-04,-781.0
2017-08-11,,2017-08-11,,2017-08-11,,2017-08-11,,2017-08-11,,2017-08-11,,2017-08-11,0.0,2017-08-11,1813.0,2017-08-11,-781.0
2017-08-18,,2017-08-18,,2017-08-18,,2017-08-18,,2017-08-18,,2017-08-18,,2017-08-18,0.0,2017-08-18,1813.0,2017-08-18,-781.0
2017-08-25,,2017-08-25,,2017-08-25,,2017-08-25,,2017-08-25,,2017-08-25,,2017-08-25,0.0,2017-08-25,1813.0,2017-08-25,-781.0
2017-09-01,,2017-09-01,,2017-09-01,,2017-09-01,,2017-09-01,,2017-09-01,,2017-09-01,0.0,2017-09-01,1813.0,2017-09-01,-781.0
2017-09-08,,2017-09-08,,2017-09-08,,2017-09-08,,2017-09-08,,2017-09-08,,2017-09-08,0.0,2017-09-08,1813.0,2017-09-08,-781.0
2017-09-15,,2017-09-15,,2017-09-15,,2017-09-15,,2017-09-15,,2017-09-15,,2017-09-15,0.0,2017-09-15,1813.0,2017-09-15,-781.0
2017-09-22,,2017-09-22,,2017-09-22,,2017-09-22,,2017-09-22,,2017-09-22,,2017-09-22,0.0,2017-09-22,1813.0,2017-09-22,-781.0
2017-09-29,,2017-09-29,,2017-09-29,,2017-09-29,,2017-09-29,,2017-09-29,,2017-09-29,0.0,2017-09-29,2149.0,2017-09-29,-1015.0
2017-10-06,,2017-10-06,,2017-10-06,,2017-10-06,,2017-10-06,,2017-10-06,,2017-10-06,0.0,2017-10-06,2149.0,2017-10-06,-1015.0
2017-10-13,,2017-10-13,,2017-10-13,,2017-10-13,,2017-10-13,,2017-10-13,,2017-10-13,0.0,2017-10-13,2149.0,2017-10-13,-1015.0
2017-10-20,,2017-10-20,,2017-10-20,,2017-10-20,,2017-10-20,,2017-10-20,,2017-10-20,0.0,2017-10-20,2149.0,2017-10-20,-1015.0
2017-10-27,,2017-10-27,,2017-10-27,,2017-10-27,,2017-10-27,,2017-10-27,,2017-10-27,0.0,2017-10-27,2149.0,2017-10-27,-1015.0
2017-11-03,,2017-11-03,,2017-11-03,,2017-11-03,,2017-11-03,,2017-11-03,,2017-11-03,0.0,2017-11-03,2149.0,2017-11-03,-1015.0
2017-11-10,,2017-11-10,,2017-11-10,,2017-11-10,,2017-11-10,,2017-11-10,,2017-11-10,0.0,2017-11-10,2149.0,2017-11-10,-1015.0
2017-11-17,,2017-11-17,,2017-11-17,,2017-11-17,,2017-11-17,,2017-11-17,,2017-11-17,0.0,2017-11-17,2149.0,2017-11-17,-1015.0
2017-11-24,,2017-11-24,,2017-11-24,,2017-11-24,,2017-11-24,,2017-11-24,,2017-11-24,0.0,2017-11-24,2149.0,2017-11-24,-1015.0
2017-12-01,,2017-12-01,,2017-12-01,,2017-12-01,,2017-12-01,,2017-12-01,,2017-12-01,0.0,2017-12-01,2149.0,2017-12-01,-1015.0
2017-12-08,,2017-12-08,,2017-12-08,,2017-12-08,,2017-12-08,,2017-12-08,,2017-12-08,0.0,2017-12-08,2149.0,2017-12-08,-1015.0
