date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,803.6646,2000-01-07,26.4551,2000-01-07,47950059,2000-01-07,2904.93038,2000-01-07,0.1293,2000-01-07,89775.5136,2000-01-07,,2000-01-07,9989.4213,2000-01-07,6598.4752
2000-01-14,803.6646,2000-01-14,27.0112,2000-01-14,48165667,2000-01-14,2904.93038,2000-01-14,0.1293,2000-01-14,93435.4266,2000-01-14,,2000-01-14,9989.4213,2000-01-14,6598.4752
2000-01-21,803.6646,2000-01-21,25.1353,2000-01-21,61900536,2000-01-21,2904.93038,2000-01-21,0.1293,2000-01-21,87192.0456,2000-01-21,,2000-01-21,9989.4213,2000-01-21,6598.4752
2000-01-28,803.6646,2000-01-28,23.6124,2000-01-28,80312421,2000-01-28,2904.93038,2000-01-28,0.1293,2000-01-28,84716.2221,2000-01-28,,2000-01-28,9989.4213,2000-01-28,6598.4752
2000-02-04,803.6646,2000-02-04,24.7721,2000-02-04,76565301,2000-02-04,2904.93038,2000-02-04,0.1293,2000-02-04,88483.7796,2000-02-04,,2000-02-04,9989.4213,2000-02-04,6598.4752
2000-02-11,803.6646,2000-02-11,24.7903,2000-02-11,51068249,2000-02-11,2904.93038,2000-02-11,0.1293,2000-02-11,87837.9126,2000-02-11,,2000-02-11,9989.4213,2000-02-11,6598.4752
2000-02-18,803.6646,2000-02-18,25.3652,2000-02-18,57438778,2000-02-18,2904.93038,2000-02-18,0.1293,2000-02-18,89775.5136,2000-02-18,,2000-02-18,9989.4213,2000-02-18,6598.4752
2000-02-25,803.6646,2000-02-25,24.6791,2000-02-25,46237641,2000-02-25,2904.93038,2000-02-25,0.1293,2000-02-25,88591.4241,2000-02-25,,2000-02-25,9989.4213,2000-02-25,6598.4752
2000-03-03,803.6646,2000-03-03,23.7761,2000-03-03,37689707,2000-03-03,2904.93038,2000-03-03,0.1293,2000-03-03,86223.2451,2000-03-03,,2000-03-03,9989.4213,2000-03-03,6598.4752
2000-03-10,803.6646,2000-03-10,23.7761,2000-03-10,56373357,2000-03-10,2904.93038,2000-03-10,0.1293,2000-03-10,86223.2451,2000-03-10,,2000-03-10,9989.4213,2000-03-10,6598.4752
2000-03-17,803.6646,2000-03-17,24.4736,2000-03-17,55172439,2000-03-17,2904.93038,2000-03-17,0.1293,2000-03-17,88268.4906,2000-03-17,,2000-03-17,9989.4213,2000-03-17,6598.4752
2000-03-24,803.6646,2000-03-24,26.2891,2000-03-24,58397359,2000-03-24,2904.93038,2000-03-24,0.1293,2000-03-24,92897.2041,2000-03-24,,2000-03-24,9989.4213,2000-03-24,6598.4752
2000-03-31,-28019.7996,2000-03-31,23.9491,2000-03-31,47161991,2000-03-31,2904.93038,2000-03-31,0.2575,2000-03-31,94081.2936,2000-03-31,,2000-03-31,12231.8441,2000-03-31,8222.7016
2000-04-07,-28019.7996,2000-04-07,24.3291,2000-04-07,69992226,2000-04-07,2904.93038,2000-04-07,0.2575,2000-04-07,94188.9381,2000-04-07,,2000-04-07,12231.8441,2000-04-07,8222.7016
2000-04-14,-28019.7996,2000-04-14,24.2721,2000-04-14,38842981,2000-04-14,2907.05681,2000-04-14,0.2575,2000-04-14,94473.3316,2000-04-14,,2000-04-14,12231.8441,2000-04-14,8222.7016
2000-04-21,-28019.7996,2000-04-21,23.0451,2000-04-21,35785848,2000-04-21,2907.05681,2000-04-21,0.2575,2000-04-21,91457.0793,2000-04-21,,2000-04-21,12231.8441,2000-04-21,8222.7016
2000-04-28,-28019.7996,2000-04-28,22.3566,2000-04-28,38655912,2000-04-28,2907.05681,2000-04-28,0.2575,2000-04-28,90918.4628,2000-04-28,,2000-04-28,12231.8441,2000-04-28,8222.7016
2000-05-05,-28019.7996,2000-05-05,22.9214,2000-05-05,46349338,2000-05-05,2907.05681,2000-05-05,0.2575,2000-05-05,93719.2685,2000-05-05,,2000-05-05,12231.8441,2000-05-05,8222.7016
2000-05-12,-28019.7996,2000-05-12,23.453,2000-05-12,44059871,2000-05-12,2907.05681,2000-05-12,0.2575,2000-05-12,94473.3316,2000-05-12,,2000-05-12,12231.8441,2000-05-12,8222.7016
2000-05-19,-28019.7996,2000-05-19,23.9448,2000-05-19,72233927,2000-05-19,2850.41787,2000-05-19,0.2575,2000-05-19,96118.2918,2000-05-19,,2000-05-19,12231.8441,2000-05-19,8222.7016
2000-05-26,-28019.7996,2000-05-26,24.7439,2000-05-26,76340579,2000-05-26,2850.41787,2000-05-26,0.2575,2000-05-26,96435.1653,2000-05-26,,2000-05-26,12231.8441,2000-05-26,8222.7016
2000-06-02,-28019.7996,2000-06-02,25.6834,2000-06-02,29254690,2000-06-02,2801.41084,2000-06-02,0.2575,2000-06-02,97579.9921,2000-06-02,,2000-06-02,12231.8441,2000-06-02,8222.7016
2000-06-09,-28019.7996,2000-06-09,27.068,2000-06-09,54748497,2000-06-09,2801.41084,2000-06-09,0.2575,2000-06-09,101317.0981,2000-06-09,,2000-06-09,12231.8441,2000-06-09,8222.7016
2000-06-16,-28019.7996,2000-06-16,27.493,2000-06-16,55234534,2000-06-16,2801.41084,2000-06-16,0.2575,2000-06-16,101317.0981,2000-06-16,,2000-06-16,12231.8441,2000-06-16,8222.7016
2000-06-23,-28019.7996,2000-06-23,26.239,2000-06-23,31039485,2000-06-23,2801.41084,2000-06-23,0.2575,2000-06-23,98825.6941,2000-06-23,,2000-06-23,12231.8441,2000-06-23,8222.7016
2000-06-30,10731.3925,2000-06-30,21.2875,2000-06-30,33005223,2000-06-30,2643.49348,2000-06-30,0.4638,2000-06-30,93646.652,2000-06-30,,2000-06-30,11905.4558,2000-06-30,8090.6458
2000-07-07,10731.3925,2000-07-07,21.5432,2000-07-07,22610783,2000-07-07,2643.49348,2000-07-07,0.4638,2000-07-07,94626.2195,2000-07-07,,2000-07-07,11905.4558,2000-07-07,8090.6458
2000-07-14,10731.3925,2000-07-14,20.9074,2000-07-14,105778284,2000-07-14,2643.49348,2000-07-14,0.4638,2000-07-14,93254.825,2000-07-14,,2000-07-14,11905.4558,2000-07-14,8090.6458
2000-07-21,10731.3925,2000-07-21,20.6481,2000-07-21,43415100,2000-07-21,2631.54531,2000-07-21,0.4638,2000-07-21,92053.2159,2000-07-21,,2000-07-21,11905.4558,2000-07-21,8090.6458
2000-07-28,10731.3925,2000-07-28,20.9289,2000-07-28,36012169,2000-07-28,2631.54531,2000-07-28,0.4638,2000-07-28,94198.5239,2000-07-28,,2000-07-28,11905.4558,2000-07-28,8090.6458
2000-08-04,10731.3925,2000-08-04,20.6388,2000-08-04,34068337,2000-08-04,2631.54531,2000-08-04,0.4638,2000-08-04,94588.5799,2000-08-04,,2000-08-04,11905.4558,2000-08-04,8090.6458
2000-08-11,10731.3925,2000-08-11,22.0557,2000-08-11,110152492,2000-08-11,2631.54531,2000-08-11,0.4638,2000-08-11,101804.6159,2000-08-11,,2000-08-11,11905.4558,2000-08-11,8090.6458
2000-08-18,10731.3925,2000-08-18,22.1545,2000-08-18,46733286,2000-08-18,2631.54531,2000-08-18,0.4638,2000-08-18,102974.7839,2000-08-18,,2000-08-18,11905.4558,2000-08-18,8090.6458
2000-08-25,10731.3925,2000-08-25,21.5809,2000-08-25,50106935,2000-08-25,2631.54531,2000-08-25,0.4638,2000-08-25,99074.2239,2000-08-25,,2000-08-25,11905.4558,2000-08-25,8090.6458
2000-09-01,10731.3925,2000-09-01,21.5767,2000-09-01,32889344,2000-09-01,2788.86889,2000-09-01,0.4638,2000-09-01,105824.0,2000-09-01,,2000-09-01,11905.4558,2000-09-01,8090.6458
2000-09-08,10731.3925,2000-09-08,20.7508,2000-09-08,25101965,2000-09-08,2788.86889,2000-09-08,0.4638,2000-09-08,105617.3125,2000-09-08,,2000-09-08,11905.4558,2000-09-08,8090.6458
2000-09-15,10731.3925,2000-09-15,20.8336,2000-09-15,36294459,2000-09-15,2788.86889,2000-09-15,0.4638,2000-09-15,105410.625,2000-09-15,,2000-09-15,11905.4558,2000-09-15,8090.6458
2000-09-22,10731.3925,2000-09-22,20.4212,2000-09-22,37754258,2000-09-22,2788.86889,2000-09-22,0.4638,2000-09-22,100656.8125,2000-09-22,,2000-09-22,11905.4558,2000-09-22,8090.6458
2000-09-29,4847.6275,2000-09-29,14.9705,2000-09-29,40244071,2000-09-29,2788.86889,2000-09-29,0.4476,2000-09-29,95076.25,2000-09-29,,2000-09-29,11399.8701,2000-09-29,8108.5029
2000-10-06,4847.6275,2000-10-06,15.4509,2000-10-06,28930962,2000-10-06,2788.86889,2000-10-06,0.4476,2000-10-06,99623.375,2000-10-06,,2000-10-06,11399.8701,2000-10-06,8108.5029
2000-10-13,4847.6275,2000-10-13,13.9104,2000-10-13,71697102,2000-10-13,2788.86889,2000-10-13,0.4476,2000-10-13,90115.75,2000-10-13,,2000-10-13,11399.8701,2000-10-13,8108.5029
2000-10-20,4847.6275,2000-10-20,14.1559,2000-10-20,48254107,2000-10-20,2788.86889,2000-10-20,0.4476,2000-10-20,93009.375,2000-10-20,,2000-10-20,11399.8701,2000-10-20,8108.5029
2000-10-27,4847.6275,2000-10-27,15.0081,2000-10-27,53564694,2000-10-27,2788.86889,2000-10-27,0.4476,2000-10-27,99830.0625,2000-10-27,,2000-10-27,11399.8701,2000-10-27,8108.5029
2000-11-03,4847.6275,2000-11-03,16.089,2000-11-03,71862244,2000-11-03,2788.86889,2000-11-03,0.4476,2000-11-03,104377.1875,2000-11-03,,2000-11-03,11399.8701,2000-11-03,8108.5029
2000-11-10,4847.6275,2000-11-10,15.6728,2000-11-10,66006898,2000-11-10,2864.40373,2000-11-10,0.4476,2000-11-10,104656.7551,2000-11-10,,2000-11-10,11399.8701,2000-11-10,8108.5029
2000-11-17,4847.6275,2000-11-17,16.2681,2000-11-17,76169337,2000-11-17,2864.40373,2000-11-17,0.4476,2000-11-17,110176.1782,2000-11-17,,2000-11-17,11399.8701,2000-11-17,8108.5029
2000-11-24,4847.6275,2000-11-24,15.3618,2000-11-24,72197900,2000-11-24,2864.40373,2000-11-24,0.4476,2000-11-24,104869.0406,2000-11-24,,2000-11-24,11399.8701,2000-11-24,8108.5029
2000-12-01,4847.6275,2000-12-01,16.0863,2000-12-01,50272982,2000-12-01,2864.40373,2000-12-01,0.4476,2000-12-01,105081.3261,2000-12-01,,2000-12-01,11399.8701,2000-12-01,8108.5029
2000-12-08,4847.6275,2000-12-08,17.1426,2000-12-08,59076929,2000-12-08,2863.72903,2000-12-08,0.4476,2000-12-08,110574.6977,2000-12-08,,2000-12-08,11399.8701,2000-12-08,8108.5029
2000-12-15,4847.6275,2000-12-15,17.0212,2000-12-15,81276629,2000-12-15,2863.72903,2000-12-15,0.4476,2000-12-15,108027.8716,2000-12-15,,2000-12-15,11399.8701,2000-12-15,8108.5029
2000-12-22,4847.6275,2000-12-22,17.8557,2000-12-22,63349136,2000-12-22,2863.72903,2000-12-22,0.4476,2000-12-22,111211.4042,2000-12-22,,2000-12-22,11399.8701,2000-12-22,8108.5029
2000-12-29,10074.9362,2000-12-29,16.6238,2000-12-29,10576200,2000-12-29,2863.72903,2000-12-29,0.2888,2000-12-29,112272.5817,2000-12-29,,2000-12-29,12803.0989,2000-12-29,8862.2283
2001-01-05,10074.9362,2001-01-05,17.7006,2001-01-05,67216480,2001-01-05,2863.72903,2001-01-05,0.2888,2001-01-05,118427.4113,2001-01-05,,2001-01-05,12803.0989,2001-01-05,8862.2283
2001-01-12,10074.9362,2001-01-12,17.2766,2001-01-12,62516432,2001-01-12,2863.72903,2001-01-12,0.2888,2001-01-12,116941.7628,2001-01-12,,2001-01-12,12803.0989,2001-01-12,8862.2283
