date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,,2000-01-07,,2000-01-07,41192676,2000-01-07,1467.313,2000-01-07,,2000-03-31,19641.8732,2000-03-31,,2000-01-07,,2000-01-07,
2000-01-14,,2000-01-14,,2000-01-14,36316853,2000-01-14,1467.313,2000-01-14,,2000-04-07,20772.8507,2000-04-07,,2000-01-14,,2000-01-14,
2000-01-21,,2000-01-21,,2000-01-21,34775946,2000-01-21,1467.313,2000-01-21,,2000-04-14,20706.5035,2000-04-14,,2000-01-21,,2000-01-21,
2000-01-28,,2000-01-28,,2000-01-28,43760592,2000-01-28,1467.313,2000-01-28,,2000-04-21,19667.5315,2000-04-21,,2000-01-28,,2000-01-28,
2000-02-04,,2000-02-04,,2000-02-04,40405643,2000-02-04,1467.313,2000-02-04,,2000-04-28,18661.6617,2000-04-28,,2000-02-04,,2000-02-04,
2000-02-11,,2000-02-11,,2000-02-11,53675056,2000-02-11,1467.313,2000-02-11,,2000-05-05,18249.7264,2000-05-05,,2000-02-11,,2000-02-11,
2000-02-18,,2000-02-18,,2000-02-18,39946652,2000-02-18,1467.313,2000-02-18,,2000-05-12,20730.0302,2000-05-12,,2000-02-18,,2000-02-18,
2000-02-25,,2000-02-25,,2000-02-25,63381262,2000-02-25,1467.313,2000-02-25,,2000-05-19,22675.2262,2000-05-19,,2000-02-25,,2000-02-25,
2000-03-03,,2000-03-03,,2000-03-03,42823863,2000-03-03,1467.313,2000-03-03,,2000-05-26,22952.4624,2000-05-26,,2000-03-03,,2000-03-03,
2000-03-10,,2000-03-10,,2000-03-10,54468040,2000-03-10,1467.313,2000-03-10,,2000-06-02,32249.3813,2000-06-02,,2000-03-10,,2000-03-10,
2000-03-17,,2000-03-17,,2000-03-17,44061035,2000-03-17,1467.313,2000-03-17,,2000-06-09,31729.3927,2000-06-09,,2000-03-17,,2000-03-17,
2000-03-24,,2000-03-24,,2000-03-24,26289696,2000-03-24,1467.313,2000-03-24,,2000-06-16,33254.967,2000-06-16,,2000-03-24,,2000-03-24,
2000-03-31,,2000-03-31,,2000-03-31,29641434,2000-03-31,1310.15632,2000-03-31,,2000-06-23,30364.4616,2000-06-23,,2000-03-31,,2000-03-31,
2000-04-07,,2000-04-07,,2000-04-07,37901270,2000-04-07,1310.15632,2000-04-07,,2000-06-30,29113.6777,2000-06-30,,2000-04-07,,2000-04-07,
2000-04-14,,2000-04-14,,2000-04-14,75934458,2000-04-14,1310.15632,2000-04-14,,2000-07-07,29080.3372,2000-07-07,,2000-04-14,,2000-04-14,
2000-04-21,,2000-04-21,,2000-04-21,18238847,2000-04-21,1310.15632,2000-04-21,,2000-07-14,28967.3126,2000-07-14,,2000-04-21,,2000-04-21,
2000-04-28,,2000-04-28,,2000-04-28,23776349,2000-04-28,1310.15632,2000-04-28,,2000-07-21,28984.6838,2000-07-21,,2000-04-28,,2000-04-28,
2000-05-05,,2000-05-05,,2000-05-05,60028064,2000-05-05,1310.15632,2000-05-05,,2000-07-28,29094.4752,2000-07-28,,2000-05-05,,2000-05-05,
2000-05-12,,2000-05-12,,2000-05-12,45966751,2000-05-12,1310.15632,2000-05-12,,2000-08-04,30674.5848,2000-08-04,,2000-05-12,,2000-05-12,
2000-05-19,,2000-05-19,,2000-05-19,35013162,2000-05-19,1309.95,2000-05-19,,2000-08-11,31212.5371,2000-08-11,,2000-05-19,,2000-05-19,
2000-05-26,,2000-05-26,,2000-05-26,55633887,2000-05-26,1309.95,2000-05-26,,2000-08-18,31049.497,2000-08-18,,2000-05-26,,2000-05-26,
2000-06-02,,2000-06-02,,2000-06-02,27454094,2000-06-02,1309.95,2000-06-02,,2000-08-25,31779.2317,2000-08-25,,2000-06-02,,2000-06-02,
2000-06-09,,2000-06-09,,2000-06-09,35757791,2000-06-09,1309.95,2000-06-09,,2000-09-01,30927.3028,2000-09-01,,2000-06-09,,2000-06-09,
2000-06-16,,2000-06-16,,2000-06-16,24411133,2000-06-16,1309.95,2000-06-16,,2000-09-08,30318.0815,2000-09-08,,2000-06-16,,2000-06-16,
2000-06-23,,2000-06-23,,2000-06-23,25011164,2000-06-23,1309.95,2000-06-23,,2000-09-15,30351.2916,2000-09-15,,2000-06-23,,2000-06-23,
2000-06-30,,2000-06-30,,2000-06-30,41013859,2000-06-30,1309.95,2000-06-30,,2000-09-22,30350.8142,2000-09-22,,2000-06-30,,2000-06-30,
2000-07-07,,2000-07-07,,2000-07-07,33834654,2000-07-07,1309.95,2000-07-07,,2000-09-29,31054.1286,2000-09-29,,2000-07-07,,2000-07-07,
2000-07-14,,2000-07-14,,2000-07-14,32984855,2000-07-14,1309.95,2000-07-14,,2000-10-06,33118.7168,2000-10-06,,2000-07-14,,2000-07-14,
