date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,449.0,2000-01-07,19.3415,2000-01-07,51452000,2000-01-07,1370.36804,2000-01-07,0.1163,2000-01-07,10502.5863,2000-01-07,0.0,2000-01-07,4992.0,2000-01-07,320.0
2000-01-14,449.0,2000-01-14,19.4401,2000-01-14,41976800,2000-01-14,1370.36804,2000-01-14,0.1163,2000-01-14,10556.1163,2000-01-14,0.0,2000-01-14,4992.0,2000-01-14,320.0
2000-01-21,449.0,2000-01-21,18.4148,2000-01-21,34585600,2000-01-21,1370.36804,2000-01-21,0.1163,2000-01-21,9999.4043,2000-01-21,0.0,2000-01-21,4992.0,2000-01-21,320.0
2000-01-28,449.0,2000-01-28,16.6009,2000-01-28,48524800,2000-01-28,1370.36804,2000-01-28,0.1163,2000-01-28,9014.4523,2000-01-28,0.0,2000-01-28,4992.0,2000-01-28,320.0
2000-02-04,449.0,2000-02-04,17.9022,2000-02-04,36354400,2000-02-04,1370.36804,2000-02-04,0.1163,2000-02-04,9721.0483,2000-02-04,0.0,2000-02-04,4992.0,2000-02-04,320.0
2000-02-11,449.0,2000-02-11,17.6656,2000-02-11,67255200,2000-02-11,1370.36804,2000-02-11,0.1163,2000-02-11,9592.5763,2000-02-11,0.0,2000-02-11,4992.0,2000-02-11,320.0
2000-02-18,449.0,2000-02-18,18.2571,2000-02-18,68164000,2000-02-18,1370.36804,2000-02-18,0.1163,2000-02-18,9913.7563,2000-02-18,0.0,2000-02-18,4992.0,2000-02-18,320.0
2000-02-25,449.0,2000-02-25,16.1672,2000-02-25,38305600,2000-02-25,1370.36804,2000-02-25,0.1163,2000-02-25,8778.9203,2000-02-25,0.0,2000-02-25,4992.0,2000-02-25,320.0
2000-03-03,449.0,2000-03-03,17.1727,2000-03-03,40142400,2000-03-03,1370.36804,2000-03-03,0.1163,2000-03-03,9324.9263,2000-03-03,0.0,2000-03-03,4992.0,2000-03-03,320.0
2000-03-10,449.0,2000-03-10,16.0489,2000-03-10,36474400,2000-03-10,1370.36804,2000-03-10,0.1163,2000-03-10,8714.6843,2000-03-10,0.0,2000-03-10,4992.0,2000-03-10,320.0
2000-03-17,449.0,2000-03-17,16.2855,2000-03-17,43943200,2000-03-17,1370.36804,2000-03-17,0.1163,2000-03-17,8843.1563,2000-03-17,0.0,2000-03-17,4992.0,2000-03-17,320.0
2000-03-24,449.0,2000-03-24,18.1191,2000-03-24,30225600,2000-03-24,1370.36804,2000-03-24,0.1163,2000-03-24,9838.8143,2000-03-24,0.0,2000-03-24,4992.0,2000-03-24,320.0
2000-03-31,317.0,2000-03-31,17.1336,2000-03-31,24330400,2000-03-31,1339.76001,2000-03-31,0.1325,2000-03-31,9985.3988,2000-03-31,0.0,2000-03-31,5099.0,2000-03-31,335.0
2000-04-07,317.0,2000-04-07,17.7443,2000-04-07,31490400,2000-04-07,1339.76001,2000-04-07,0.1325,2000-04-07,10341.2726,2000-04-07,0.0,2000-04-07,5099.0,2000-04-07,335.0
2000-04-14,317.0,2000-04-14,18.3728,2000-04-14,46983200,2000-04-14,1339.76001,2000-04-14,0.1325,2000-04-14,10707.6132,2000-04-14,0.0,2000-04-14,5099.0,2000-04-14,335.0
2000-04-21,317.0,2000-04-21,19.2888,2000-04-21,24433600,2000-04-21,1339.76001,2000-04-21,0.1325,2000-04-21,11241.4238,2000-04-21,0.0,2000-04-21,5099.0,2000-04-21,335.0
2000-04-28,317.0,2000-04-28,19.1631,2000-04-28,40020800,2000-04-28,1339.76001,2000-04-28,0.1325,2000-04-28,11168.1557,2000-04-28,0.0,2000-04-28,5099.0,2000-04-28,335.0
2000-05-05,317.0,2000-05-05,18.1214,2000-05-05,62762400,2000-05-05,1339.76001,2000-05-05,0.1325,2000-05-05,10561.077,2000-05-05,0.0,2000-05-05,5099.0,2000-05-05,335.0
2000-05-12,317.0,2000-05-12,20.5101,2000-05-12,52485600,2000-05-12,1339.76001,2000-05-12,0.1325,2000-05-12,11953.1713,2000-05-12,0.0,2000-05-12,5099.0,2000-05-12,335.0
2000-05-19,317.0,2000-05-19,21.9468,2000-05-19,57708800,2000-05-19,1299.27197,2000-05-19,0.1325,2000-05-19,12403.9871,2000-05-19,0.0,2000-05-19,5099.0,2000-05-19,335.0
2000-05-26,317.0,2000-05-26,21.8032,2000-05-26,62216000,2000-05-26,1299.27197,2000-05-26,0.1325,2000-05-26,12322.7826,2000-05-26,0.0,2000-05-26,5099.0,2000-05-26,335.0
2000-06-02,317.0,2000-06-02,21.5158,2000-06-02,31418400,2000-06-02,1299.27197,2000-06-02,0.1325,2000-06-02,12160.3736,2000-06-02,0.0,2000-06-02,5099.0,2000-06-02,335.0
2000-06-09,317.0,2000-06-09,22.1085,2000-06-09,32831200,2000-06-09,1299.27197,2000-06-09,0.1325,2000-06-09,12495.3422,2000-06-09,0.0,2000-06-09,5099.0,2000-06-09,335.0
2000-06-16,317.0,2000-06-16,23.204,2000-06-16,58423200,2000-06-16,1299.27197,2000-06-16,0.1325,2000-06-16,13114.5265,2000-06-16,0.0,2000-06-16,5099.0,2000-06-16,335.0
