date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,-82.0,2000-01-07,13.9423,2000-01-07,22018000,2000-01-07,991.35602,2000-01-07,0.245,2000-01-07,11230.2049,2000-01-07,0.05,2000-01-07,2831.0,2000-01-07,760.0
2000-01-14,-82.0,2000-01-14,14.1731,2000-01-14,14522400,2000-01-14,991.35602,2000-01-14,0.245,2000-01-14,11416.0841,2000-01-14,0.05,2000-01-14,2831.0,2000-01-14,760.0
2000-01-21,-82.0,2000-01-21,13.4615,2000-01-21,21924400,2000-01-21,991.13202,2000-01-21,0.245,2000-01-21,10840.5065,2000-01-21,0.05,2000-01-21,2831.0,2000-01-21,760.0
2000-01-28,-82.0,2000-01-28,12.5,2000-01-28,19170800,2000-01-28,991.13202,2000-01-28,0.245,2000-01-28,10066.1846,2000-01-28,0.05,2000-01-28,2831.0,2000-01-28,760.0
2000-02-04,-82.0,2000-02-04,12.4038,2000-02-04,18954000,2000-02-04,991.13202,2000-02-04,0.245,2000-02-04,9988.7524,2000-02-04,0.05,2000-02-04,2831.0,2000-02-04,760.0
2000-02-11,-82.0,2000-02-11,11.3077,2000-02-11,23362400,2000-02-11,991.13202,2000-02-11,0.245,2000-02-11,9106.0254,2000-02-11,0.05,2000-02-11,2831.0,2000-02-11,760.0
2000-02-18,-82.0,2000-02-18,11.6154,2000-02-18,23263200,2000-02-18,991.13202,2000-02-18,0.245,2000-02-18,9353.8084,2000-02-18,0.05,2000-02-18,2831.0,2000-02-18,760.0
2000-02-25,-82.0,2000-02-25,11.5192,2000-02-25,17298800,2000-02-25,991.13202,2000-02-25,0.245,2000-02-25,9276.3762,2000-02-25,0.05,2000-02-25,2831.0,2000-02-25,760.0
2000-03-03,-82.0,2000-03-03,12.1154,2000-03-03,22457200,2000-03-03,991.13202,2000-03-03,0.245,2000-03-03,9756.4558,2000-03-03,0.05,2000-03-03,2831.0,2000-03-03,760.0
2000-03-10,-82.0,2000-03-10,10.7885,2000-03-10,25853200,2000-03-10,991.13202,2000-03-10,0.245,2000-03-10,8687.8916,2000-03-10,0.05,2000-03-10,2831.0,2000-03-10,760.0
