,date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
0,2010-09-24,,2010-09-24,,2010-09-24,175600.0,2010-09-24,0.4,2010-09-24,,2010-09-24,5.259,2010-09-24,,2010-09-24,,2010-09-24,
1,2010-10-01,,2010-10-01,,2010-10-01,172200.0,2010-10-01,0.4,2010-10-01,,2010-10-01,5.241,2010-10-01,,2010-10-01,,2010-10-01,
2,2010-10-08,,2010-10-08,,2010-10-08,318988.0,2010-10-08,0.4,2010-10-08,,2010-10-08,5.345,2010-10-08,,2010-10-08,,2010-10-08,
3,2010-10-15,,2010-10-15,,2010-10-15,228708.0,2010-10-15,0.4,2010-10-15,,2010-10-15,5.453,2010-10-15,,2010-10-15,,2010-10-15,
4,2010-10-22,,2010-10-22,,2010-10-22,50560.0,2010-10-22,0.4,2010-10-22,,2010-10-22,5.482,2010-10-22,,2010-10-22,,2010-10-22,
5,2010-10-29,,2010-10-29,,2010-10-29,718100.0,2010-10-29,0.6,2010-10-29,,2010-10-29,8.2605,2010-10-29,,2010-10-29,,2010-10-29,
6,2010-11-05,,2010-11-05,,2010-11-05,51104.0,2010-11-05,0.8,2010-11-05,,2010-11-05,11.366,2010-11-05,,2010-11-05,,2010-11-05,
7,2010-11-12,,2010-11-12,,2010-11-12,109492.0,2010-11-12,0.8,2010-11-12,,2010-11-12,11.186,2010-11-12,,2010-11-12,,2010-11-12,
8,2010-11-19,,2010-11-19,,2010-11-19,208104.0,2010-11-19,0.8,2010-11-19,,2010-11-19,11.21,2010-11-19,,2010-11-19,,2010-11-19,
9,2010-11-26,,2010-11-26,,2010-11-26,70496.0,2010-11-26,0.8,2010-11-26,,2010-11-26,11.256,2010-11-26,,2010-11-26,,2010-11-26,
10,2010-12-03,,2010-12-03,,2010-12-03,109692.0,2010-12-03,0.8,2010-12-03,,2010-12-03,11.514,2010-12-03,,2010-12-03,,2010-12-03,
11,2010-12-10,,2010-12-10,,2010-12-10,79900.0,2010-12-10,0.8,2010-12-10,,2010-12-10,11.628,2010-12-10,,2010-12-10,,2010-12-10,
12,2010-12-17,,2010-12-17,,2010-12-17,67468.0,2010-12-17,1.0,2010-12-17,,2010-12-17,14.605,2010-12-17,,2010-12-17,,2010-12-17,
13,2010-12-24,,2010-12-24,,2010-12-24,277936.0,2010-12-24,1.0,2010-12-24,,2010-12-24,14.685,2010-12-24,,2010-12-24,,2010-12-24,
14,2010-12-31,,2010-12-31,,2010-12-31,145232.0,2010-12-31,0.8,2010-12-31,,2010-12-31,11.736,2010-12-31,,2010-12-31,,2010-12-31,
15,2011-01-07,,2011-01-07,,2011-01-07,52320.0,2011-01-07,0.8,2011-01-07,,2011-01-07,11.894,2011-01-07,,2011-01-07,,2011-01-07,
16,2011-01-14,,2011-01-14,,2011-01-14,18320.0,2011-01-14,0.8,2011-01-14,,2011-01-14,12.004,2011-01-14,,2011-01-14,,2011-01-14,
17,2011-01-21,,2011-01-21,,2011-01-21,36328.0,2011-01-21,0.8,2011-01-21,,2011-01-21,11.95,2011-01-21,,2011-01-21,,2011-01-21,
