date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2016-10-07,,2016-10-07,,2016-10-07,1298877.0,2016-10-07,427.5,2016-10-07,,2016-10-07,6797.25,2016-10-07,,2016-10-07,,2016-10-07,
2016-10-14,,2016-10-14,,2016-10-14,636570.0,2016-10-14,427.5,2016-10-14,,2016-10-14,6882.75,2016-10-14,,2016-10-14,,2016-10-14,
2016-10-21,,2016-10-21,,2016-10-21,1306696.0,2016-10-21,427.5,2016-10-21,,2016-10-21,6711.75,2016-10-21,,2016-10-21,,2016-10-21,
2016-10-28,,2016-10-28,,2016-10-28,2645086.0,2016-10-28,427.5,2016-10-28,,2016-10-28,6498.0,2016-10-28,,2016-10-28,,2016-10-28,
2016-11-04,,2016-11-04,,2016-11-04,1273476.0,2016-11-04,427.5,2016-11-04,,2016-11-04,5985.0,2016-11-04,,2016-11-04,,2016-11-04,
2016-11-11,,2016-11-11,,2016-11-11,3086017.0,2016-11-11,427.5,2016-11-11,,2016-11-11,6288.525,2016-11-11,,2016-11-11,,2016-11-11,
2016-11-18,,2016-11-18,,2016-11-18,1774742.0,2016-11-18,427.5,2016-11-18,,2016-11-18,6027.75,2016-11-18,,2016-11-18,,2016-11-18,
2016-11-25,,2016-11-25,,2016-11-25,178033.0,2016-11-25,427.5,2016-11-25,,2016-11-25,5985.0,2016-11-25,,2016-11-25,,2016-11-25,
2016-12-02,,2016-12-02,,2016-12-02,562317.0,2016-12-02,427.5,2016-12-02,,2016-12-02,5920.875,2016-12-02,,2016-12-02,,2016-12-02,
2016-12-09,,2016-12-09,,2016-12-09,3194123.0,2016-12-09,427.5,2016-12-09,,2016-12-09,7011.0,2016-12-09,,2016-12-09,,2016-12-09,
2016-12-16,,2016-12-16,,2016-12-16,7505688.0,2016-12-16,427.5,2016-12-16,,2016-12-16,6010.65,2016-12-16,,2016-12-16,,2016-12-16,
2016-12-23,,2016-12-23,,2016-12-23,3539645.0,2016-12-23,427.5,2016-12-23,,2016-12-23,6149.5875,2016-12-23,,2016-12-23,,2016-12-23,
2016-12-30,,2016-12-30,,2016-12-30,757977.0,2016-12-30,427.5,2016-12-30,,2016-12-30,6626.25,2016-12-30,,2016-12-30,,2016-12-30,
