date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,-619.0,2000-01-07,57.0833,2000-01-07,109971300,2000-01-07,13361.22949,2000-01-07,0.0967,2000-01-07,305081.4067,2000-01-07,0.0167,2000-01-07,40432.0,2000-01-07,2475.0
2000-01-14,-619.0,2000-01-14,53.75,2000-01-14,81227700,2000-01-14,13361.22949,2000-01-14,0.0967,2000-01-14,287266.4341,2000-01-14,0.0167,2000-01-14,40432.0,2000-01-14,2475.0
2000-01-21,-619.0,2000-01-21,52.0313,2000-01-21,71880900,2000-01-21,13361.22949,2000-01-21,0.0967,2000-01-21,278080.5888,2000-01-21,0.0167,2000-01-21,40432.0,2000-01-21,2475.0
2000-01-28,-619.0,2000-01-28,45.9375,2000-01-28,120286500,2000-01-28,13361.22949,2000-01-28,0.0967,2000-01-28,245512.5919,2000-01-28,0.0167,2000-01-28,40432.0,2000-01-28,2475.0
2000-02-04,2263.0,2000-02-04,43.9941,2000-02-04,108009900,2000-02-04,13361.22949,2000-02-04,0.1433,2000-02-04,250801.4119,2000-02-04,0.0167,2000-02-04,51394.0,2000-02-04,4265.0
2000-02-11,2263.0,2000-02-11,43.7988,2000-02-11,96734400,2000-02-11,13361.22949,2000-02-11,0.1433,2000-02-11,249687.9761,2000-02-11,0.0167,2000-02-11,51394.0,2000-02-11,4265.0
2000-02-18,2263.0,2000-02-18,37.3047,2000-02-18,219777000,2000-02-18,13361.22949,2000-02-18,0.1433,2000-02-18,212666.2361,2000-02-18,0.0167,2000-02-18,51394.0,2000-02-18,4265.0
2000-02-25,2263.0,2000-02-25,34.7656,2000-02-25,184642800,2000-02-25,13361.22949,2000-02-25,0.1433,2000-02-25,198191.5708,2000-02-25,0.0167,2000-02-25,51394.0,2000-02-25,4265.0
2000-03-03,2263.0,2000-03-03,41.1133,2000-03-03,214597500,2000-03-03,13361.22949,2000-03-03,0.1433,2000-03-03,234378.234,2000-03-03,0.0167,2000-03-03,51394.0,2000-03-03,4265.0
2000-03-10,2263.0,2000-03-10,37.4512,2000-03-10,135562200,2000-03-10,13361.22949,2000-03-10,0.1433,2000-03-10,213501.3129,2000-03-10,0.0167,2000-03-10,51394.0,2000-03-10,4265.0
2000-03-17,2263.0,2000-03-17,43.5547,2000-03-17,194208600,2000-03-17,13361.22949,2000-03-17,0.1433,2000-03-17,248296.1814,2000-03-17,0.0167,2000-03-17,51394.0,2000-03-17,4265.0
2000-03-24,2263.0,2000-03-24,43.3594,2000-03-24,118696800,2000-03-24,13361.22949,2000-03-24,0.1433,2000-03-24,247182.7456,2000-03-24,0.0167,2000-03-24,51394.0,2000-03-24,4265.0
2000-03-31,2263.0,2000-03-31,44.1406,2000-03-31,137382000,2000-03-31,13361.22949,2000-03-31,0.1433,2000-03-31,251636.4888,2000-03-31,0.0167,2000-03-31,51394.0,2000-03-31,4265.0
2000-04-07,2263.0,2000-04-07,48.0469,2000-04-07,131219700,2000-04-07,13361.22949,2000-04-07,0.1433,2000-04-07,273905.2046,2000-04-07,0.0167,2000-04-07,51394.0,2000-04-07,4265.0
2000-04-14,2263.0,2000-04-14,42.9688,2000-04-14,106131000,2000-04-14,13361.22949,2000-04-14,0.1433,2000-04-14,244955.874,2000-04-14,0.0167,2000-04-14,51394.0,2000-04-14,4265.0
2000-04-21,2263.0,2000-04-21,45.0684,2000-04-21,89073000,2000-04-21,13371.0,2000-04-21,0.1433,2000-04-21,257113.1875,2000-04-21,0.0167,2000-04-21,51394.0,2000-04-21,4265.0
2000-04-28,-849.0,2000-04-28,41.6353,2000-04-28,82449000,2000-04-28,13371.0,2000-04-28,0.1,2000-04-28,246806.375,2000-04-28,0.02,2000-04-28,42985.0,2000-04-28,3120.0
2000-05-05,-849.0,2000-05-05,38.5808,2000-05-05,119384100,2000-05-05,13371.0,2000-05-05,0.1,2000-05-05,228699.8125,2000-05-05,0.02,2000-05-05,42985.0,2000-05-05,3120.0
2000-05-12,-849.0,2000-05-12,42.7162,2000-05-12,114707400,2000-05-12,13371.0,2000-05-12,0.1,2000-05-12,253213.3125,2000-05-12,0.02,2000-05-12,42985.0,2000-05-12,3120.0
2000-05-19,-849.0,2000-05-19,42.9041,2000-05-19,79466700,2000-05-19,13362.10254,2000-05-19,0.1,2000-05-19,254158.3254,2000-05-19,0.02,2000-05-19,42985.0,2000-05-19,3120.0
2000-05-26,-849.0,2000-05-26,40.6015,2000-05-26,83619900,2000-05-26,13362.10254,2000-05-26,0.1,2000-05-26,240517.8457,2000-05-26,0.02,2000-05-26,42985.0,2000-05-26,3120.0
2000-06-02,-849.0,2000-06-02,44.4079,2000-06-02,71658900,2000-06-02,13362.10254,2000-06-02,0.1,2000-06-02,263066.3937,2000-06-02,0.02,2000-06-02,42985.0,2000-06-02,3120.0
2000-06-09,-849.0,2000-06-09,40.6015,2000-06-09,70503900,2000-06-09,13394.62939,2000-06-09,0.1,2000-06-09,241103.3291,2000-06-09,0.02,2000-06-09,42985.0,2000-06-09,3120.0
2000-06-16,-849.0,2000-06-16,40.5075,2000-06-16,113219100,2000-06-16,13394.62939,2000-06-16,0.1,2000-06-16,240545.2195,2000-06-16,0.02,2000-06-16,42985.0,2000-06-16,3120.0
2000-06-23,-849.0,2000-06-23,40.4135,2000-06-23,84870600,2000-06-23,13394.62939,2000-06-23,0.1,2000-06-23,239987.11,2000-06-23,0.02,2000-06-23,42985.0,2000-06-23,3120.0
2000-06-30,-849.0,2000-06-30,43.3271,2000-06-30,84648900,2000-06-30,13394.62939,2000-06-30,0.1,2000-06-30,257288.5063,2000-06-30,0.02,2000-06-30,42985.0,2000-06-30,3120.0
2000-07-07,-849.0,2000-07-07,46.2876,2000-07-07,71964900,2000-07-07,13394.62939,2000-07-07,0.1,2000-07-07,274868.9574,2000-07-07,0.02,2000-07-07,42985.0,2000-07-07,3120.0
2000-07-14,-849.0,2000-07-14,44.7368,2000-07-14,85354800,2000-07-14,13394.62939,2000-07-14,0.1,2000-07-14,265660.1497,2000-07-14,0.02,2000-07-14,42985.0,2000-07-14,3120.0
2000-07-21,-849.0,2000-07-21,44.8778,2000-07-21,62511000,2000-07-21,13394.62939,2000-07-21,0.1,2000-07-21,266497.314,2000-07-21,0.02,2000-07-21,42985.0,2000-07-21,3120.0
2000-07-28,-849.0,2000-07-28,44.1259,2000-07-28,79448400,2000-07-28,13394.62939,2000-07-28,0.1,2000-07-28,262032.4375,2000-07-28,0.02,2000-07-28,42985.0,2000-07-28,3120.0
2000-08-04,-832.0,2000-08-04,38.3605,2000-08-04,112187700,2000-08-04,13394.62939,2000-08-04,0.12,2000-08-04,236359.3979,2000-08-04,0.02,2000-08-04,46112.0,2000-08-04,3118.0
2000-08-11,-832.0,2000-08-11,37.7717,2000-08-11,147391200,2000-08-11,13394.62939,2000-08-11,0.12,2000-08-11,232731.6857,2000-08-11,0.02,2000-08-11,46112.0,2000-08-11,3118.0
2000-08-18,-832.0,2000-08-18,36.8659,2000-08-18,125837700,2000-08-18,13394.62939,2000-08-18,0.12,2000-08-18,227150.5901,2000-08-18,0.02,2000-08-18,46112.0,2000-08-18,3118.0
2000-08-25,-832.0,2000-08-25,36.5942,2000-08-25,115439400,2000-08-25,13399.00635,2000-08-25,0.12,2000-08-25,225549.9402,2000-08-25,0.02,2000-08-25,46112.0,2000-08-25,3118.0
2000-09-01,-832.0,2000-09-01,35.3261,2000-09-01,122164500,2000-09-01,13399.00635,2000-09-01,0.12,2000-09-01,217733.8531,2000-09-01,0.02,2000-09-01,46112.0,2000-09-01,3118.0
2000-09-08,-832.0,2000-09-08,37.7717,2000-09-08,96367800,2000-09-08,13399.00635,2000-09-08,0.12,2000-09-08,232807.7353,2000-09-08,0.02,2000-09-08,46112.0,2000-09-08,3118.0
2000-09-15,-832.0,2000-09-15,37.6812,2000-09-15,101994300,2000-09-15,13399.00635,2000-09-15,0.12,2000-09-15,232249.4434,2000-09-15,0.02,2000-09-15,46112.0,2000-09-15,3118.0
2000-09-22,-832.0,2000-09-22,36.5942,2000-09-22,117123600,2000-09-22,13399.00635,2000-09-22,0.12,2000-09-22,225549.9402,2000-09-22,0.02,2000-09-22,46112.0,2000-09-22,3118.0
2000-09-29,-832.0,2000-09-29,34.8732,2000-09-29,114385800,2000-09-29,13399.00635,2000-09-29,0.12,2000-09-29,214942.3935,2000-09-29,0.02,2000-09-29,46112.0,2000-09-29,3118.0
2000-10-06,-832.0,2000-10-06,32.971,2000-10-06,176103600,2000-10-06,13399.00635,2000-10-06,0.12,2000-10-06,203218.2629,2000-10-06,0.02,2000-10-06,46112.0,2000-10-06,3118.0
2000-10-13,-832.0,2000-10-13,32.6087,2000-10-13,149833500,2000-10-13,13399.00635,2000-10-13,0.12,2000-10-13,200985.0952,2000-10-13,0.02,2000-10-13,46112.0,2000-10-13,3118.0
