date_Free CF,Free CF,date_PE ratio,PE ratio,date_Volume,Volume,date_Outstanding Shares,Outstanding Shares,date_EPS,EPS,date_Market Cap,Market Cap,date_Dividend,Dividend,date_Revenue,Revenue,date_Earnings,Earnings
2000-01-07,2082.0,2000-01-07,29.2888,2000-01-07,81519800,2000-01-07,4855.56982,2000-01-07,0.6,2000-01-07,206209.981,2000-01-07,0.205,2000-01-07,83591.0,2000-01-07,10026.0
2000-01-14,2082.0,2000-01-14,28.8793,2000-01-14,50916200,2000-01-14,4855.56982,2000-01-14,0.6,2000-01-14,203326.9864,2000-01-14,0.205,2000-01-14,83591.0,2000-01-14,10026.0
2000-01-21,2082.0,2000-01-21,29.3103,2000-01-21,49004400,2000-01-21,4855.56982,2000-01-21,0.6,2000-01-21,206361.7175,2000-01-21,0.205,2000-01-21,83591.0,2000-01-21,10026.0
2000-01-28,2082.0,2000-01-28,27.1983,2000-01-28,54588400,2000-01-28,4855.56982,2000-01-28,0.6,2000-01-28,191491.5349,2000-01-28,0.205,2000-01-28,83591.0,2000-01-28,10026.0
2000-02-04,2082.0,2000-02-04,27.8879,2000-02-04,59887400,2000-02-04,4855.56982,2000-02-04,0.6,2000-02-04,196347.1048,2000-02-04,0.205,2000-02-04,83591.0,2000-02-04,10026.0
2000-02-11,2082.0,2000-02-11,25.4741,2000-02-11,54822800,2000-02-11,4855.56982,2000-02-11,0.6,2000-02-11,179352.6104,2000-02-11,0.205,2000-02-11,83591.0,2000-02-11,10026.0
2000-02-18,2082.0,2000-02-18,25.8621,2000-02-18,56280400,2000-02-18,4855.56982,2000-02-18,0.6,2000-02-18,182083.8684,2000-02-18,0.205,2000-02-18,83591.0,2000-02-18,10026.0
2000-02-25,2082.0,2000-02-25,24.5043,2000-02-25,42323400,2000-02-25,4855.56982,2000-02-25,0.6,2000-02-25,172524.4653,2000-02-25,0.205,2000-02-25,83591.0,2000-02-25,10026.0
2000-03-03,2082.0,2000-03-03,26.0991,2000-03-03,52237000,2000-03-03,4855.56982,2000-03-03,0.6,2000-03-03,183752.9705,2000-03-03,0.205,2000-03-03,83591.0,2000-03-03,10026.0
2000-03-10,2082.0,2000-03-10,26.5625,2000-03-10,73626600,2000-03-10,4855.56982,2000-03-10,0.6,2000-03-10,187015.3065,2000-03-10,0.205,2000-03-10,83591.0,2000-03-10,10026.0
2000-03-17,2082.0,2000-03-17,26.5948,2000-03-17,56924800,2000-03-17,4855.56982,2000-03-17,0.6,2000-03-17,187242.9113,2000-03-17,0.205,2000-03-17,83591.0,2000-03-17,10026.0
2000-03-24,2082.0,2000-03-24,26.6379,2000-03-24,54739400,2000-03-24,6954.0,2000-03-24,0.6,2000-03-24,268598.25,2000-03-24,0.205,2000-03-24,83591.0,2000-03-24,10026.0
2000-03-31,3721.0,2000-03-31,22.7405,2000-03-31,64560000,2000-03-31,6954.0,2000-03-31,0.5,2000-03-31,271206.0,2000-03-31,0.22,2000-03-31,47780.0,2000-03-31,7362.0
2000-04-07,3721.0,2000-04-07,23.1961,2000-04-07,54875200,2000-04-07,6954.0,2000-04-07,0.5,2000-04-07,276638.8125,2000-04-07,0.22,2000-04-07,47780.0,2000-04-07,7362.0
2000-04-14,3721.0,2000-04-14,22.9592,2000-04-14,49111200,2000-04-14,6954.0,2000-04-14,0.5,2000-04-14,273813.75,2000-04-14,0.22,2000-04-14,47780.0,2000-04-14,7362.0
2000-04-21,3721.0,2000-04-21,23.0321,2000-04-21,48424800,2000-04-21,6954.0,2000-04-21,0.5,2000-04-21,274683.0,2000-04-21,0.22,2000-04-21,47780.0,2000-04-21,7362.0
2000-04-28,3721.0,2000-04-28,22.6494,2000-04-28,48422400,2000-04-28,6954.0,2000-04-28,0.5,2000-04-28,270119.4375,2000-04-28,0.22,2000-04-28,47780.0,2000-04-28,7362.0
2000-05-05,3721.0,2000-05-05,23.3236,2000-05-05,41179600,2000-05-05,6954.0,2000-05-05,0.5,2000-05-05,278160.0,2000-05-05,0.22,2000-05-05,47780.0,2000-05-05,7362.0
2000-05-12,3721.0,2000-05-12,23.9135,2000-05-12,46068600,2000-05-12,6962.25195,2000-05-12,0.5,2000-05-12,285533.919,2000-05-12,0.22,2000-05-12,47780.0,2000-05-12,7362.0
2000-05-19,3721.0,2000-05-19,23.8338,2000-05-19,44313000,2000-05-19,6962.25195,2000-05-19,0.5,2000-05-19,284582.0486,2000-05-19,0.22,2000-05-19,47780.0,2000-05-19,7362.0
2000-05-26,3721.0,2000-05-26,24.016,2000-05-26,42019600,2000-05-26,6962.25195,2000-05-26,0.5,2000-05-26,286757.7523,2000-05-26,0.22,2000-05-26,47780.0,2000-05-26,7362.0
2000-06-02,3721.0,2000-06-02,23.0867,2000-06-02,50547200,2000-06-02,6962.25195,2000-06-02,0.5,2000-06-02,275661.6633,2000-06-02,0.22,2000-06-02,47780.0,2000-06-02,7362.0
2000-06-09,3721.0,2000-06-09,23.0867,2000-06-09,50414000,2000-06-09,6962.25195,2000-06-09,0.5,2000-06-09,275661.6633,2000-06-09,0.22,2000-06-09,47780.0,2000-06-09,7362.0
2000-06-16,3721.0,2000-06-16,24.5991,2000-06-16,60889200,2000-06-16,6962.25195,2000-06-16,0.5,2000-06-16,293720.0043,2000-06-16,0.22,2000-06-16,47780.0,2000-06-16,7362.0
2000-06-23,3721.0,2000-06-23,24.2347,2000-06-23,42367000,2000-06-23,6962.25195,2000-06-23,0.5,2000-06-23,289368.5968,2000-06-23,0.22,2000-06-23,47780.0,2000-06-23,7362.0
2000-06-30,3932.0,2000-06-30,19.625,2000-06-30,51194200,2000-06-30,6962.25195,2000-06-30,0.66,2000-06-30,273268.3892,2000-06-30,0.22,2000-06-30,49479.0,2000-06-30,8063.0
2000-07-07,3932.0,2000-07-07,19.6289,2000-07-07,42566600,2000-07-07,6962.25195,2000-07-07,0.66,2000-07-07,273322.7818,2000-07-07,0.22,2000-07-07,49479.0,2000-07-07,8063.0
2000-07-14,3932.0,2000-07-14,19.3906,2000-07-14,40727400,2000-07-14,6962.25195,2000-07-14,0.66,2000-07-14,270004.8336,2000-07-14,0.22,2000-07-14,49479.0,2000-07-14,8063.0
2000-07-21,3932.0,2000-07-21,19.2813,2000-07-21,48015200,2000-07-21,6962.25195,2000-07-21,0.66,2000-07-21,268481.8409,2000-07-21,0.22,2000-07-21,49479.0,2000-07-21,8063.0
2000-07-28,3932.0,2000-07-28,20.0,2000-07-28,61358800,2000-07-28,6962.25195,2000-07-28,0.66,2000-07-28,278490.0781,2000-07-28,0.22,2000-07-28,49479.0,2000-07-28,8063.0
